id,phc_id,medicine_id,quantity,reserved_quantity,batch_number,expiry_date
132,7,12,48,0,BATCH-2026-12-007,2027-10-28
133,7,13,69,0,BATCH-2026-13-007,2027-05-25
134,7,14,58,0,BATCH-2026-14-007,2028-03-30
135,7,15,57,0,BATCH-2026-15-007,2028-02-20
136,7,16,5,0,BATCH-2026-16-007,2028-07-02
137,7,17,5,0,BATCH-2026-17-007,2028-02-23
138,7,18,9,0,BATCH-2026-18-007,2028-05-27
139,7,19,5,0,BATCH-2026-19-007,2027-03-29
140,7,20,14,0,BATCH-2026-20-007,2027-10-22
141,8,1,30,0,BATCH-2026-01-008,2027-09-11
142,8,2,11,0,BATCH-2026-02-008,2028-03-11
143,8,3,53,0,BATCH-2026-03-008,2028-01-13
144,8,4,11,0,BATCH-2026-04-008,2027-04-01
145,8,5,124,0,BATCH-2026-05-008,2028-03-03
146,8,6,17,0,BATCH-2026-06-008,2028-06-21
147,8,7,68,0,BATCH-2026-07-008,2027-08-09
148,8,8,44,0,BATCH-2026-08-008,2028-07-26
149,8,9,73,0,BATCH-2026-09-008,2027-06-27
150,8,10,23,0,BATCH-2026-10-008,2028-04-14
151,8,11,9,0,BATCH-2026-11-008,2028-06-08
152,8,12,64,0,BATCH-2026-12-008,2028-07-04
153,8,13,55,0,BATCH-2026-13-008,2028-04-22
154,8,14,34,0,BATCH-2026-14-008,2027-11-11
155,8,15,37,0,BATCH-2026-15-008,2027-08-25
156,8,16,5,0,BATCH-2026-16-008,2027-03-31
157,8,17,7,0,BATCH-2026-17-008,2028-07-22
158,8,18,7,0,BATCH-2026-18-008,2027-12-06
159,8,19,5,0,BATCH-2026-19-008,2027-11-21
160,8,20,6,0,BATCH-2026-20-008,2028-04-12
161,9,1,27,0,BATCH-2026-01-009,2028-04-04
162,9,2,15,0,BATCH-2026-02-009,2027-12-28
163,9,3,27,0,BATCH-2026-03-009,2028-05-27
164,9,4,13,0,BATCH-2026-04-009,2028-03-09
165,9,5,135,0,BATCH-2026-05-009,2027-07-16
166,9,6,28,0,BATCH-2026-06-009,2027-05-08
167,9,7,112,0,BATCH-2026-07-009,2027-10-10
168,9,8,76,0,BATCH-2026-08-009,2028-04-08
169,9,9,44,0,BATCH-2026-09-009,2027-07-08
170,9,10,10,0,BATCH-2026-10-009,2028-05-23
171,9,11,10,0,BATCH-2026-11-009,2027-11-17
172,9,12,48,0,BATCH-2026-12-009,2027-12-22
173,9,13,58,0,BATCH-2026-13-009,2027-08-17
174,9,14,37,0,BATCH-2026-14-009,2028-02-08
175,9,15,28,0,BATCH-2026-15-009,2028-05-10
176,9,16,5,0,BATCH-2026-16-009,2028-07-01
177,9,17,5,0,BATCH-2026-17-009,2028-08-04
178,9,18,5,0,BATCH-2026-18-009,2028-05-06
179,9,19,5,0,BATCH-2026-19-009,2028-05-07
180,9,20,10,0,BATCH-2026-20-009,2028-07-30
181,10,1,16,0,BATCH-2026-01-010,2027-08-20
182,10,2,13,0,BATCH-2026-02-010,2028-07-13
183,10,3,22,0,BATCH-2026-03-010,2027-03-18
184,10,4,17,0,BATCH-2026-04-010,2027-12-30
185,10,5,66,0,BATCH-2026-05-010,2027-12-03
186,10,6,21,0,BATCH-2026-06-010,2028-01-17
187,10,7,44,0,BATCH-2026-07-010,2028-02-27
188,10,8,36,0,BATCH-2026-08-010,2028-08-05
189,10,9,28,0,BATCH-2026-09-010,2028-02-14
190,10,10,9,0,BATCH-2026-10-010,2027-05-08
191,10,11,6,0,BATCH-2026-11-010,2028-05-19
192,10,12,28,0,BATCH-2026-12-010,2027-12-25
193,10,13,34,0,BATCH-2026-13-010,2027-11-12
194,10,14,13,0,BATCH-2026-14-010,2027-06-18
195,10,15,24,0,BATCH-2026-15-010,2028-03-06
196,10,16,5,0,BATCH-2026-16-010,2028-07-29
197,10,17,5,0,BATCH-2026-17-010,2027-06-07
198,10,18,6,0,BATCH-2026-18-010,2027-10-21
199,10,19,5,0,BATCH-2026-19-010,2027-06-30
200,10,20,9,0,BATCH-2026-20-010,2027-10-06
201,11,1,18,0,BATCH-2026-01-011,2028-07-16
202,11,2,9,0,BATCH-2026-02-011,2027-07-11
203,11,3,24,0,BATCH-2026-03-011,2027-09-13
204,11,4,11,0,BATCH-2026-04-011,2027-12-23
205,11,5,75,0,BATCH-2026-05-011,2027-08-22
206,11,6,31,0,BATCH-2026-06-011,2028-05-21
207,11,7,100,0,BATCH-2026-07-011,2027-05-04
208,11,8,37,0,BATCH-2026-08-011,2028-06-02
209,11,9,38,0,BATCH-2026-09-011,2028-06-13
210,11,10,7,0,BATCH-2026-10-011,2028-06-19
211,11,11,8,0,BATCH-2026-11-011,2027-10-07
212,11,12,74,0,BATCH-2026-12-011,2028-03-14
213,11,13,26,0,BATCH-2026-13-011,2028-08-01
214,11,14,37,0,BATCH-2026-14-011,2027-05-14
215,11,15,20,0,BATCH-2026-15-011,2028-01-07
216,11,16,5,0,BATCH-2026-16-011,2027-05-04
217,11,17,6,0,BATCH-2026-17-011,2027-08-15
218,11,18,12,0,BATCH-2026-18-011,2028-01-04
219,11,19,5,0,BATCH-2026-19-011,2028-01-18
220,11,20,9,0,BATCH-2026-20-011,2027-07-12
221,12,1,30,0,BATCH-2026-01-012,2028-06-22
222,12,2,9,0,BATCH-2026-02-012,2027-09-06
223,12,3,38,0,BATCH-2026-03-012,2028-07-04
224,12,4,22,0,BATCH-2026-04-012,2028-05-08
225,12,5,83,0,BATCH-2026-05-012,2027-06-21
226,12,6,32,0,BATCH-2026-06-012,2028-07-22
227,12,7,118,0,BATCH-2026-07-012,2027-06-09
228,12,8,84,0,BATCH-2026-08-012,2028-02-19
229,12,9,45,0,BATCH-2026-09-012,2028-04-19
230,12,10,15,0,BATCH-2026-10-012,2027-07-28
231,12,11,6,0,BATCH-2026-11-012,2028-02-07
232,12,12,72,0,BATCH-2026-12-012,2027-06-17
233,12,13,49,0,BATCH-2026-13-012,2027-11-21
234,12,14,40,0,BATCH-2026-14-012,2027-05-23
235,12,15,25,0,BATCH-2026-15-012,2027-09-08
236,12,16,5,0,BATCH-2026-16-012,2027-10-18
237,12,17,5,0,BATCH-2026-17-012,2027-06-02
238,12,18,10,0,BATCH-2026-18-012,2027-05-03
239,12,19,5,0,BATCH-2026-19-012,2028-08-04
240,12,20,8,0,BATCH-2026-20-012,2027-10-16
241,13,1,16,0,BATCH-2026-01-013,2027-04-23
242,13,2,5,0,BATCH-2026-02-013,2028-07-07
243,13,3,11,0,BATCH-2026-03-013,2028-05-22
244,13,4,16,0,BATCH-2026-04-013,2027-07-05
245,13,5,104,0,BATCH-2026-05-013,2027-04-29
246,13,6,20,0,BATCH-2026-06-013,2027-10-01
247,13,7,81,0,BATCH-2026-07-013,2028-04-27
248,13,8,55,0,BATCH-2026-08-013,2027-06-02
249,13,9,38,0,BATCH-2026-09-013,2027-06-27
250,13,10,7,0,BATCH-2026-10-013,2027-03-21
251,13,11,5,0,BATCH-2026-11-013,2027-04-05
252,13,12,31,0,BATCH-2026-12-013,2027-11-27
253,13,13,25,0,BATCH-2026-13-013,2027-05-06
254,13,14,14,0,BATCH-2026-14-013,2027-06-30
255,13,15,13,0,BATCH-2026-15-013,2027-10-21
256,13,16,5,0,BATCH-2026-16-013,2028-02-13
257,13,17,5,0,BATCH-2026-17-013,2028-05-17
258,13,18,6,0,BATCH-2026-18-013,2027-06-28
259,13,19,5,0,BATCH-2026-19-013,2028-04-04
260,13,20,5,0,BATCH-2026-20-013,2028-02-16
261,14,1,23,0,BATCH-2026-01-014,2028-02-19
262,14,2,7,0,BATCH-2026-02-014,2028-01-21
263,14,3,22,0,BATCH-2026-03-014,2028-03-02
264,14,4,9,0,BATCH-2026-04-014,2027-08-19
265,14,5,143,0,BATCH-2026-05-014,2027-09-13
266,14,6,32,0,BATCH-2026-06-014,2028-08-02
267,14,7,56,0,BATCH-2026-07-014,2028-08-10
268,14,8,37,0,BATCH-2026-08-014,2028-03-02
269,14,9,54,0,BATCH-2026-09-014,2027-08-22
270,14,10,12,0,BATCH-2026-10-014,2027-08-13
271,14,11,7,0,BATCH-2026-11-014,2028-03-24
272,14,12,59,0,BATCH-2026-12-014,2028-03-14
273,14,13,32,0,BATCH-2026-13-014,2028-05-27
274,14,14,28,0,BATCH-2026-14-014,2027-12-08
275,14,15,18,0,BATCH-2026-15-014,2027-11-30
276,14,16,5,0,BATCH-2026-16-014,2028-02-02
277,14,17,5,0,BATCH-2026-17-014,2028-04-28
278,14,18,5,0,BATCH-2026-18-014,2027-10-10
279,14,19,5,0,BATCH-2026-19-014,2028-05-06
280,14,20,6,0,BATCH-2026-20-014,2027-05-01
281,15,1,22,0,BATCH-2026-01-015,2028-05-28
282,15,2,12,0,BATCH-2026-02-015,2028-06-23
283,15,3,28,0,BATCH-2026-03-015,2027-07-31
284,15,4,10,0,BATCH-2026-04-015,2027-06-29
285,15,5,100,0,BATCH-2026-05-015,2028-03-19
286,15,6,14,0,BATCH-2026-06-015,2028-06-07
287,15,7,51,0,BATCH-2026-07-015,2028-01-20
288,15,8,62,0,BATCH-2026-08-015,2027-06-07
289,15,9,49,0,BATCH-2026-09-015,2027-05-31
290,15,10,7,0,BATCH-2026-10-015,2028-03-31
291,15,11,7,0,BATCH-2026-11-015,2028-06-21
292,15,12,35,0,BATCH-2026-12-015,2027-09-23
293,15,13,46,0,BATCH-2026-13-015,2027-12-01
294,15,14,22,0,BATCH-2026-14-015,2027-12-22
295,15,15,10,0,BATCH-2026-15-015,2028-03-01
296,15,16,5,0,BATCH-2026-16-015,2027-03-17
297,15,17,5,0,BATCH-2026-17-015,2027-07-12
298,15,18,7,0,BATCH-2026-18-015,2028-02-22
299,15,19,5,0,BATCH-2026-19-015,2028-07-27
300,15,20,5,0,BATCH-2026-20-015,2027-04-17
301,16,1,432,21,BATCH-2026-01-016,2027-12-31
302,16,2,319,15,BATCH-2026-02-016,2027-08-03
303,16,3,651,32,BATCH-2026-03-016,2028-03-20
304,16,4,353,17,BATCH-2026-04-016,2027-06-06
305,16,5,3581,179,BATCH-2026-05-016,2027-09-21
306,16,6,424,21,BATCH-2026-06-016,2028-06-10
307,16,7,2498,124,BATCH-2026-07-016,2028-02-07
308,16,8,1184,59,BATCH-2026-08-016,2028-02-28
309,16,9,1369,68,BATCH-2026-09-016,2028-07-03
310,16,10,283,14,BATCH-2026-10-016,2027-11-23
311,16,11,139,6,BATCH-2026-11-016,2027-05-18
312,16,12,1044,52,BATCH-2026-12-016,2027-05-16
313,16,13,1025,51,BATCH-2026-13-016,2027-05-05
314,16,14,758,37,BATCH-2026-14-016,2028-07-30
315,16,15,664,33,BATCH-2026-15-016,2027-12-07
316,16,16,62,3,BATCH-2026-16-016,2027-05-31
317,16,17,100,5,BATCH-2026-17-016,2027-07-23
318,16,18,199,9,BATCH-2026-18-016,2028-08-03
319,16,19,79,3,BATCH-2026-19-016,2028-04-13
320,16,20,138,6,BATCH-2026-20-016,2028-05-07
321,17,1,558,27,BATCH-2026-01-017,2027-06-26
322,17,2,294,14,BATCH-2026-02-017,2028-06-30
323,17,3,658,32,BATCH-2026-03-017,2027-09-26
324,17,4,301,15,BATCH-2026-04-017,2027-07-10
325,17,5,4258,212,BATCH-2026-05-017,2027-07-29
326,17,6,380,19,BATCH-2026-06-017,2027-06-10
327,17,7,2319,115,BATCH-2026-07-017,2027-06-30
328,17,8,1454,72,BATCH-2026-08-017,2027-09-01
329,17,9,1222,61,BATCH-2026-09-017,2027-09-29
330,17,10,351,17,BATCH-2026-10-017,2027-05-05
331,17,11,210,10,BATCH-2026-11-017,2027-11-16
332,17,12,1297,64,BATCH-2026-12-017,2027-05-30
333,17,13,1382,69,BATCH-2026-13-017,2028-05-13
334,17,14,807,40,BATCH-2026-14-017,2027-10-18
335,17,15,660,33,BATCH-2026-15-017,2027-04-30
336,17,16,80,4,BATCH-2026-16-017,2028-02-07
337,17,17,86,4,BATCH-2026-17-017,2027-11-19
338,17,18,162,8,BATCH-2026-18-017,2027-11-22
339,17,19,73,3,BATCH-2026-19-017,2028-02-10
340,17,20,185,9,BATCH-2026-20-017,2027-05-19
341,18,1,297,14,BATCH-2026-01-018,2027-09-24
342,18,2,202,10,BATCH-2026-02-018,2028-02-27
343,18,3,481,24,BATCH-2026-03-018,2027-06-17
344,18,4,275,13,BATCH-2026-04-018,2028-03-16
345,18,5,3112,155,BATCH-2026-05-018,2027-12-15
346,18,6,439,21,BATCH-2026-06-018,2028-03-09
347,18,7,1277,63,BATCH-2026-07-018,2028-01-06
348,18,8,1392,69,BATCH-2026-08-018,2027-07-20
349,18,9,1101,55,BATCH-2026-09-018,2027-11-29
350,18,10,231,11,BATCH-2026-10-018,2028-04-30
351,18,11,132,6,BATCH-2026-11-018,2027-03-22
352,18,12,908,45,BATCH-2026-12-018,2027-09-21
353,18,13,744,37,BATCH-2026-13-018,2027-08-07
354,18,14,612,30,BATCH-2026-14-018,2028-08-09
355,18,15,383,19,BATCH-2026-15-018,2028-06-18
356,18,16,37,1,BATCH-2026-16-018,2027-07-19
357,18,17,87,4,BATCH-2026-17-018,2027-06-25
358,18,18,148,7,BATCH-2026-18-018,2027-07-18
359,18,19,64,3,BATCH-2026-19-018,2027-06-28
360,18,20,165,8,BATCH-2026-20-018,2028-03-22
361,19,1,367,18,BATCH-2026-01-019,2027-06-21
362,19,2,231,11,BATCH-2026-02-019,2027-08-05
363,19,3,433,21,BATCH-2026-03-019,2028-04-05
364,19,4,306,15,BATCH-2026-04-019,2027-05-16
365,19,5,2629,131,BATCH-2026-05-019,2027-09-04
366,19,6,323,16,BATCH-2026-06-019,2027-03-29
367,19,7,1709,85,BATCH-2026-07-019,2027-07-13
368,19,8,908,45,BATCH-2026-08-019,2027-08-12
369,19,9,847,42,BATCH-2026-09-019,2028-07-09
370,19,10,249,12,BATCH-2026-10-019,2028-03-08
371,19,11,99,4,BATCH-2026-11-019,2028-07-14
372,19,12,892,44,BATCH-2026-12-019,2028-04-30
373,19,13,863,43,BATCH-2026-13-019,2028-05-07
374,19,14,469,23,BATCH-2026-14-019,2027-09-01
375,19,15,383,19,BATCH-2026-15-019,2027-11-22
376,19,16,47,2,BATCH-2026-16-019,2028-06-14
377,19,17,68,3,BATCH-2026-17-019,2028-04-16
378,19,18,124,6,BATCH-2026-18-019,2027-06-20
379,19,19,36,1,BATCH-2026-19-019,2027-05-06
380,19,20,138,6,BATCH-2026-20-019,2028-04-12
381,20,1,285,14,BATCH-2026-01-020,2027-08-05
382,20,2,113,5,BATCH-2026-02-020,2027-12-11
383,20,3,349,17,BATCH-2026-03-020,2027-04-15
384,20,4,199,9,BATCH-2026-04-020,2027-08-30
385,20,5,1461,73,BATCH-2026-05-020,2028-07-24
386,20,6,172,8,BATCH-2026-06-020,2027-05-08
387,20,7,1055,52,BATCH-2026-07-020,2027-07-31
388,20,8,761,38,BATCH-2026-08-020,2027-10-08
389,20,9,741,37,BATCH-2026-09-020,2028-02-08
390,20,10,160,8,BATCH-2026-10-020,2027-07-03
391,20,11,89,4,BATCH-2026-11-020,2027-09-04
392,20,12,717,35,BATCH-2026-12-020,2028-08-15
393,20,13,572,28,BATCH-2026-13-020,2027-04-03
394,20,14,310,15,BATCH-2026-14-020,2027-05-24
395,20,15,202,10,BATCH-2026-15-020,2027-07-11
396,20,16,49,2,BATCH-2026-16-020,2027-04-03
397,20,17,56,2,BATCH-2026-17-020,2028-03-14
398,20,18,62,3,BATCH-2026-18-020,2028-04-04
399,20,19,34,1,BATCH-2026-19-020,2027-07-23
400,20,20,53,2,BATCH-2026-20-020,2027-10-10
401,21,1,208,10,BATCH-2026-01-021,2027-04-07
402,21,2,131,6,BATCH-2026-02-021,2028-02-07
403,21,3,297,14,BATCH-2026-03-021,2028-03-12
404,21,4,270,13,BATCH-2026-04-021,2028-01-19
405,21,5,1982,99,BATCH-2026-05-021,2027-08-03
406,21,6,375,18,BATCH-2026-06-021,2028-02-15
407,21,7,1033,51,BATCH-2026-07-021,2028-07-26
408,21,8,953,47,BATCH-2026-08-021,2027-07-02
409,21,9,699,34,BATCH-2026-09-021,2027-03-25
410,21,10,129,6,BATCH-2026-10-021,2027-04-21
411,21,11,63,3,BATCH-2026-11-021,2027-07-19
412,21,12,805,40,BATCH-2026-12-021,2027-04-23
413,21,13,570,28,BATCH-2026-13-021,2027-10-03
414,21,14,305,15,BATCH-2026-14-021,2027-05-09
415,21,15,343,17,BATCH-2026-15-021,2028-03-14
416,21,16,39,1,BATCH-2026-16-021,2027-11-08
417,21,17,53,2,BATCH-2026-17-021,2027-10-14
418,21,18,112,5,BATCH-2026-18-021,2028-08-06
419,21,19,38,1,BATCH-2026-19-021,2027-06-27
420,21,20,76,3,BATCH-2026-20-021,2028-06-22
421,22,1,388,19,BATCH-2026-01-022,2027-05-25
422,22,2,204,10,BATCH-2026-02-022,2028-05-21
423,22,3,493,24,BATCH-2026-03-022,2028-06-18
424,22,4,319,15,BATCH-2026-04-022,2027-06-30
425,22,5,2143,107,BATCH-2026-05-022,2027-12-01
426,22,6,421,21,BATCH-2026-06-022,2028-01-17
427,22,7,1803,90,BATCH-2026-07-022,2027-09-11
428,22,8,1579,78,BATCH-2026-08-022,2028-07-23
429,22,9,1269,63,BATCH-2026-09-022,2028-04-05
430,22,10,321,16,BATCH-2026-10-022,2028-02-15
431,22,11,152,7,BATCH-2026-11-022,2027-04-05
432,22,12,1441,72,BATCH-2026-12-022,2027-03-26
433,22,13,819,40,BATCH-2026-13-022,2028-01-14
434,22,14,733,36,BATCH-2026-14-022,2028-06-16
435,22,15,496,24,BATCH-2026-15-022,2027-09-22
436,22,16,72,3,BATCH-2026-16-022,2027-03-27
437,22,17,74,3,BATCH-2026-17-022,2027-09-15
438,22,18,218,10,BATCH-2026-18-022,2028-07-09
439,22,19,39,1,BATCH-2026-19-022,2028-07-23
440,22,20,173,8,BATCH-2026-20-022,2027-06-23
441,23,1,273,13,BATCH-2026-01-023,2028-01-22
442,23,2,133,6,BATCH-2026-02-023,2028-01-31
443,23,3,298,14,BATCH-2026-03-023,2027-08-06
444,23,4,210,10,BATCH-2026-04-023,2028-05-02
445,23,5,1608,80,BATCH-2026-05-023,2027-03-29
446,23,6,312,15,BATCH-2026-06-023,2027-06-04
447,23,7,1522,76,BATCH-2026-07-023,2027-05-04
448,23,8,805,40,BATCH-2026-08-023,2027-05-23
449,23,9,683,34,BATCH-2026-09-023,2027-09-09
450,23,10,169,8,BATCH-2026-10-023,2027-07-05
451,23,11,79,3,BATCH-2026-11-023,2027-09-12
452,23,12,665,33,BATCH-2026-12-023,2027-09-21
453,23,13,770,38,BATCH-2026-13-023,2028-02-03
454,23,14,557,27,BATCH-2026-14-023,2028-07-08
455,23,15,243,12,BATCH-2026-15-023,2028-06-27
456,23,16,42,2,BATCH-2026-16-023,2027-04-21
457,23,17,45,2,BATCH-2026-17-023,2028-02-04
458,23,18,109,5,BATCH-2026-18-023,2028-05-06
459,23,19,41,2,BATCH-2026-19-023,2027-10-18
460,23,20,102,5,BATCH-2026-20-023,2027-10-17
461,24,1,530,26,BATCH-2026-01-024,2027-05-09
462,24,2,205,10,BATCH-2026-02-024,2027-08-07
463,24,3,505,25,BATCH-2026-03-024,2027-06-11
464,24,4,333,16,BATCH-2026-04-024,2027-06-22
465,24,5,2463,123,BATCH-2026-05-024,2027-10-12
466,24,6,615,30,BATCH-2026-06-024,2028-06-15
467,24,7,2813,140,BATCH-2026-07-024,2027-08-28
468,24,8,1509,75,BATCH-2026-08-024,2027-08-03
469,24,9,1309,65,BATCH-2026-09-024,2028-01-29
470,24,10,329,16,BATCH-2026-10-024,2028-08-01
471,24,11,128,6,BATCH-2026-11-024,2027-09-09
472,24,12,1496,74,BATCH-2026-12-024,2027-05-07
473,24,13,1333,66,BATCH-2026-13-024,2027-05-31
474,24,14,631,31,BATCH-2026-14-024,2028-02-09
475,24,15,721,36,BATCH-2026-15-024,2027-07-12
476,24,16,63,3,BATCH-2026-16-024,2027-04-30
477,24,17,73,3,BATCH-2026-17-024,2027-05-02
478,24,18,196,9,BATCH-2026-18-024,2028-04-13
479,24,19,59,2,BATCH-2026-19-024,2028-07-10
