id,name,district,state,latitude,longitude,population_served,is_active
33,Shevgaon PHC-33,Nashik,Maharashtra,19.826952,73.665914,26405,True
34,Nevasa PHC-34,Nashik,Maharashtra,19.876052,73.663898,18981,True
35,Pathardi PHC-35,Nashik,Maharashtra,19.875524,73.972239,22260,True
36,Kagal PHC-36,Nashik,Maharashtra,19.868907,73.62434,48312,True
37,Panhala PHC-37,Nashik,Maharashtra,19.985202,73.917879,36786,True
38,Shirol PHC-38,Nashik,Maharashtra,19.816119,73.758773,29392,True
39,Hatkanangle PHC-39,Nashik,Maharashtra,20.100584,73.867814,29342,True
40,Radhanagari PHC-40,Nashik,Maharashtra,20.160253,73.676695,24563,True
41,Bhudargad PHC-41,Nashik,Maharashtra,19.962347,73.690145,26215,True
42,Ajara PHC-42,Nashik,Maharashtra,20.020146,73.587565,37398,True
43,Chandgad PHC-43,Nashik,Maharashtra,19.991039,73.660986,29879,True
44,Gadhinglaj PHC-44,Nashik,Maharashtra,19.943038,74.008189,19607,True
45,Alandi PHC-45,Nashik,Maharashtra,19.977254,73.755153,34027,True
46,Shirwal PHC-46,Satara,Maharashtra,17.525159,73.926819,33584,True
47,Wai PHC-47,Satara,Maharashtra,17.481224,74.05618,31517,True
48,Khed PHC-48,Satara,Maharashtra,17.526345,74.225651,25054,True
49,Bhor PHC-49,Satara,Maharashtra,17.723266,74.097146,27473,True
50,Saswad PHC-50,Satara,Maharashtra,17.856129,73.904097,34769,True
51,Junnar PHC-51,Satara,Maharashtra,17.644151,74.055953,36302,True
52,Baramati PHC-52,Satara,Maharashtra,17.547417,74.115586,25965,True
53,Indapur PHC-53,Satara,Maharashtra,17.757761,73.928299,22749,True
54,Daund PHC-54,Satara,Maharashtra,17.488144,73.999528,24770,True
55,Manchar PHC-55,Satara,Maharashtra,17.57484,74.213267,29247,True
56,Loni PHC-56,Satara,Maharashtra,17.830685,74.109893,37953,True
57,Sinnar PHC-57,Satara,Maharashtra,17.754025,74.215819,21434,True
58,Yeola PHC-58,Satara,Maharashtra,17.578057,74.065473,35143,True
59,Niphad PHC-59,Satara,Maharashtra,17.740907,73.912093,29674,True
60,Trimbak PHC-60,Satara,Maharashtra,17.836247,73.834834,29872,True
61,Dindori PHC-61,Satara,Maharashtra,17.457096,74.140304,33849,True
62,Igatpuri PHC-62,Satara,Maharashtra,17.789054,74.041556,30293,True
63,Chandwad PHC-63,Satara,Maharashtra,17.48936,74.190698,45763,True
64,Deola PHC-64,Satara,Maharashtra,17.831068,74.055429,26292,True
65,Karad PHC-65,Satara,Maharashtra,17.594216,74.197842,38816,True
66,Patan PHC-66,Ahmednagar,Maharashtra,18.982088,74.569257,28117,True
67,Mahabaleshwar PHC-67,Ahmednagar,Maharashtra,18.939349,74.941446,37487,True
68,Phaltan PHC-68,Ahmednagar,Maharashtra,19.224119,74.571643,16333,True
69,Koregaon PHC-69,Ahmednagar,Maharashtra,19.076936,74.660336,36827,True
70,Khandala PHC-70,Ahmednagar,Maharashtra,18.880449,74.609908,18160,True
71,Medha PHC-71,Ahmednagar,Maharashtra,19.3049,74.648606,34581,True
72,Rahuri PHC-72,Ahmednagar,Maharashtra,19.311317,74.764297,40948,True
73,Sangamner PHC-73,Ahmednagar,Maharashtra,18.918581,74.718554,36055,True
74,Kopargaon PHC-74,Ahmednagar,Maharashtra,19.142594,74.75314,27825,True
75,Shrirampur PHC-75,Ahmednagar,Maharashtra,18.984425,74.841953,33149,True
76,Parner PHC-76,Ahmednagar,Maharashtra,19.203678,74.824783,29359,True
77,Shevgaon PHC-77,Ahmednagar,Maharashtra,19.168707,74.67159,18488,True
78,Nevasa PHC-78,Ahmednagar,Maharashtra,19.193689,74.658145,27220,True
79,Pathardi PHC-79,Ahmednagar,Maharashtra,19.05088,74.656045,23722,True
80,Kagal PHC-80,Ahmednagar,Maharashtra,19.292964,74.827793,48987,True
81,Panhala PHC-81,Ahmednagar,Maharashtra,19.005227,74.769572,29097,True
82,Shirol PHC-82,Ahmednagar,Maharashtra,19.164418,74.732245,30286,True
83,Hatkanangle PHC-83,Ahmednagar,Maharashtra,19.082734,74.928531,36421,True
84,Radhanagari PHC-84,Ahmednagar,Maharashtra,18.907958,74.754953,34056,True
85,Bhudargad PHC-85,Ahmednagar,Maharashtra,19.238091,74.861012,34392,True
86,Ajara PHC-86,Kolhapur,Maharashtra,16.569608,74.029291,25374,True
87,Chandgad PHC-87,Kolhapur,Maharashtra,16.862382,74.051073,28307,True
88,Gadhinglaj PHC-88,Kolhapur,Maharashtra,16.567496,74.331659,31157,True
89,Alandi PHC-89,Kolhapur,Maharashtra,16.775226,74.020795,49914,True
90,Shirwal PHC-90,Kolhapur,Maharashtra,16.527964,74.209616,31511,True
91,Wai PHC-91,Kolhapur,Maharashtra,16.592139,74.400051,28451,True
92,Khed PHC-92,Kolhapur,Maharashtra,16.78041,74.462852,70926,True
93,Bhor PHC-93,Kolhapur,Maharashtra,16.881142,74.293994,37793,True
94,Saswad PHC-94,Kolhapur,Maharashtra,16.853756,74.264842,30802,True
95,Junnar PHC-95,Kolhapur,Maharashtra,16.591258,74.305248,39662,True
96,Baramati PHC-96,Kolhapur,Maharashtra,16.762037,74.141869,24253,True
97,Indapur PHC-97,Kolhapur,Maharashtra,16.602272,74.162169,31888,True
98,Daund PHC-98,Kolhapur,Maharashtra,16.584068,74.330577,34358,True
99,Manchar PHC-99,Kolhapur,Maharashtra,16.66342,74.262475,29865,True
100,Loni PHC-100,Kolhapur,Maharashtra,16.669065,74.425477,35187,True
