id,blood_bank_id,blood_group,component_type,units_available,reserved_units,last_updated
45,6,AB+,WHOLE_BLOOD,27,0,2026-09-18T11:35:44.931743Z
46,6,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.931747Z
47,6,O+,WHOLE_BLOOD,161,2,2026-09-18T11:35:44.931751Z
48,6,O-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.931755Z
49,7,A+,WHOLE_BLOOD,190,4,2026-09-18T11:35:44.931767Z
50,7,A-,WHOLE_BLOOD,6,2,2026-09-18T11:35:44.932859Z
51,7,B+,WHOLE_BLOOD,300,4,2026-09-18T11:35:44.932869Z
52,7,B-,WHOLE_BLOOD,8,1,2026-09-18T11:35:44.932876Z
53,7,AB+,WHOLE_BLOOD,36,1,2026-09-18T11:35:44.932882Z
54,7,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.932889Z
55,7,O+,WHOLE_BLOOD,266,3,2026-09-18T11:35:44.932896Z
56,7,O-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.932903Z
57,8,A+,WHOLE_BLOOD,29,4,2026-09-18T11:35:44.932923Z
58,8,A-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.932928Z
59,8,B+,WHOLE_BLOOD,89,0,2026-09-18T11:35:44.932932Z
60,8,B-,WHOLE_BLOOD,3,1,2026-09-18T11:35:44.932937Z
61,8,AB+,WHOLE_BLOOD,6,3,2026-09-18T11:35:44.932941Z
62,8,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.932945Z
63,8,O+,WHOLE_BLOOD,51,4,2026-09-18T11:35:44.932949Z
64,8,O-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.932953Z
65,9,A+,WHOLE_BLOOD,79,2,2026-09-18T11:35:44.932963Z
66,9,A-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.932969Z
67,9,B+,WHOLE_BLOOD,125,1,2026-09-18T11:35:44.932973Z
68,9,B-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.932977Z
69,9,AB+,WHOLE_BLOOD,9,4,2026-09-18T11:35:44.932981Z
70,9,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.932985Z
71,9,O+,WHOLE_BLOOD,45,0,2026-09-18T11:35:44.932989Z
72,9,O-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.932994Z
73,10,A+,WHOLE_BLOOD,65,1,2026-09-18T11:35:44.933011Z
74,10,A-,WHOLE_BLOOD,4,4,2026-09-18T11:35:44.933015Z
75,10,B+,WHOLE_BLOOD,178,1,2026-09-18T11:35:44.933020Z
76,10,B-,WHOLE_BLOOD,7,3,2026-09-18T11:35:44.933024Z
77,10,AB+,WHOLE_BLOOD,19,0,2026-09-18T11:35:44.933028Z
78,10,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933034Z
79,10,O+,WHOLE_BLOOD,165,3,2026-09-18T11:35:44.933038Z
80,10,O-,WHOLE_BLOOD,11,0,2026-09-18T11:35:44.933042Z
81,11,A+,WHOLE_BLOOD,146,0,2026-09-18T11:35:44.933055Z
82,11,A-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.933059Z
83,11,B+,WHOLE_BLOOD,168,1,2026-09-18T11:35:44.933063Z
84,11,B-,WHOLE_BLOOD,4,2,2026-09-18T11:35:44.933067Z
85,11,AB+,WHOLE_BLOOD,32,0,2026-09-18T11:35:44.933071Z
86,11,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933076Z
87,11,O+,WHOLE_BLOOD,66,4,2026-09-18T11:35:44.933080Z
88,11,O-,WHOLE_BLOOD,10,0,2026-09-18T11:35:44.933084Z
89,12,A+,WHOLE_BLOOD,107,3,2026-09-18T11:35:44.933095Z
90,12,A-,WHOLE_BLOOD,4,1,2026-09-18T11:35:44.933102Z
91,12,B+,WHOLE_BLOOD,132,3,2026-09-18T11:35:44.933109Z
92,12,B-,WHOLE_BLOOD,3,3,2026-09-18T11:35:44.933116Z
93,12,AB+,WHOLE_BLOOD,24,4,2026-09-18T11:35:44.933121Z
94,12,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933127Z
95,12,O+,WHOLE_BLOOD,94,2,2026-09-18T11:35:44.933131Z
96,12,O-,WHOLE_BLOOD,4,0,2026-09-18T11:35:44.933135Z
97,13,A+,WHOLE_BLOOD,16,3,2026-09-18T11:35:44.933144Z
98,13,A-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933154Z
99,13,B+,WHOLE_BLOOD,24,4,2026-09-18T11:35:44.933158Z
100,13,B-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933162Z
101,13,AB+,WHOLE_BLOOD,5,0,2026-09-18T11:35:44.933166Z
102,13,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933170Z
103,13,O+,WHOLE_BLOOD,67,4,2026-09-18T11:35:44.933174Z
104,13,O-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.933178Z
105,14,A+,WHOLE_BLOOD,143,2,2026-09-18T11:35:44.933187Z
106,14,A-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.933191Z
107,14,B+,WHOLE_BLOOD,148,2,2026-09-18T11:35:44.933197Z
108,14,B-,WHOLE_BLOOD,6,2,2026-09-18T11:35:44.933203Z
109,14,AB+,WHOLE_BLOOD,41,0,2026-09-18T11:35:44.933209Z
110,14,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933215Z
111,14,O+,WHOLE_BLOOD,90,1,2026-09-18T11:35:44.933223Z
112,14,O-,WHOLE_BLOOD,9,1,2026-09-18T11:35:44.933229Z
113,15,A+,WHOLE_BLOOD,64,3,2026-09-18T11:35:44.933243Z
114,15,A-,WHOLE_BLOOD,4,2,2026-09-18T11:35:44.933249Z
115,15,B+,WHOLE_BLOOD,155,4,2026-09-18T11:35:44.933255Z
116,15,B-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933261Z
117,15,AB+,WHOLE_BLOOD,47,0,2026-09-18T11:35:44.933266Z
118,15,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933272Z
119,15,O+,WHOLE_BLOOD,103,0,2026-09-18T11:35:44.933281Z
120,15,O-,WHOLE_BLOOD,8,1,2026-09-18T11:35:44.933287Z
121,16,A+,WHOLE_BLOOD,87,2,2026-09-18T11:35:44.933301Z
122,16,A-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.933307Z
123,16,B+,WHOLE_BLOOD,159,0,2026-09-18T11:35:44.933316Z
124,16,B-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933326Z
125,16,AB+,WHOLE_BLOOD,32,0,2026-09-18T11:35:44.933335Z
126,16,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933344Z
127,16,O+,WHOLE_BLOOD,139,2,2026-09-18T11:35:44.933353Z
128,16,O-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.933362Z
129,17,A+,WHOLE_BLOOD,75,1,2026-09-18T11:35:44.933382Z
130,17,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933393Z
131,17,B+,WHOLE_BLOOD,75,1,2026-09-18T11:35:44.933404Z
132,17,B-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933413Z
133,17,AB+,WHOLE_BLOOD,10,0,2026-09-18T11:35:44.933424Z
134,17,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933429Z
135,17,O+,WHOLE_BLOOD,97,0,2026-09-18T11:35:44.933436Z
136,17,O-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.933442Z
137,18,A+,WHOLE_BLOOD,105,1,2026-09-18T11:35:44.933455Z
138,18,A-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.933461Z
139,18,B+,WHOLE_BLOOD,54,2,2026-09-18T11:35:44.933466Z
140,18,B-,WHOLE_BLOOD,4,3,2026-09-18T11:35:44.933473Z
141,18,AB+,WHOLE_BLOOD,31,1,2026-09-18T11:35:44.933477Z
142,18,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933481Z
143,18,O+,WHOLE_BLOOD,96,0,2026-09-18T11:35:44.933485Z
144,18,O-,WHOLE_BLOOD,6,1,2026-09-18T11:35:44.933489Z
145,19,A+,WHOLE_BLOOD,41,1,2026-09-18T11:35:44.933503Z
146,19,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933507Z
147,19,B+,WHOLE_BLOOD,153,2,2026-09-18T11:35:44.933512Z
148,19,B-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.933516Z
149,19,AB+,WHOLE_BLOOD,18,4,2026-09-18T11:35:44.933520Z
150,19,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933525Z
151,19,O+,WHOLE_BLOOD,52,2,2026-09-18T11:35:44.933529Z
152,19,O-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.933535Z
153,20,A+,WHOLE_BLOOD,126,4,2026-09-18T11:35:44.933545Z
154,20,A-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933549Z
155,20,B+,WHOLE_BLOOD,104,3,2026-09-18T11:35:44.933555Z
156,20,B-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933561Z
157,20,AB+,WHOLE_BLOOD,27,0,2026-09-18T11:35:44.933565Z
158,20,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933569Z
159,20,O+,WHOLE_BLOOD,218,0,2026-09-18T11:35:44.933573Z
160,20,O-,WHOLE_BLOOD,9,2,2026-09-18T11:35:44.933577Z
161,21,A+,WHOLE_BLOOD,99,1,2026-09-18T11:35:44.933587Z
162,21,A-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.933592Z
163,21,B+,WHOLE_BLOOD,168,1,2026-09-18T11:35:44.933596Z
164,21,B-,WHOLE_BLOOD,4,2,2026-09-18T11:35:44.933600Z
165,21,AB+,WHOLE_BLOOD,25,0,2026-09-18T11:35:44.933604Z
166,21,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933608Z
167,21,O+,WHOLE_BLOOD,139,4,2026-09-18T11:35:44.933612Z
168,21,O-,WHOLE_BLOOD,7,2,2026-09-18T11:35:44.933616Z
169,22,A+,WHOLE_BLOOD,156,1,2026-09-18T11:35:44.933627Z
170,22,A-,WHOLE_BLOOD,3,2,2026-09-18T11:35:44.933631Z
171,22,B+,WHOLE_BLOOD,164,4,2026-09-18T11:35:44.933635Z
172,22,B-,WHOLE_BLOOD,4,1,2026-09-18T11:35:44.933641Z
173,22,AB+,WHOLE_BLOOD,43,1,2026-09-18T11:35:44.933645Z
174,22,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933649Z
175,22,O+,WHOLE_BLOOD,59,1,2026-09-18T11:35:44.933654Z
176,22,O-,WHOLE_BLOOD,12,4,2026-09-18T11:35:44.933658Z
177,23,A+,WHOLE_BLOOD,78,3,2026-09-18T11:35:44.933667Z
178,23,A-,WHOLE_BLOOD,4,1,2026-09-18T11:35:44.933671Z
179,23,B+,WHOLE_BLOOD,100,0,2026-09-18T11:35:44.933675Z
180,23,B-,WHOLE_BLOOD,11,0,2026-09-18T11:35:44.933679Z
181,23,AB+,WHOLE_BLOOD,61,1,2026-09-18T11:35:44.933683Z
182,23,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933688Z
183,23,O+,WHOLE_BLOOD,83,1,2026-09-18T11:35:44.933692Z
184,23,O-,WHOLE_BLOOD,15,0,2026-09-18T11:35:44.933696Z
185,24,A+,WHOLE_BLOOD,157,3,2026-09-18T11:35:44.933705Z
186,24,A-,WHOLE_BLOOD,4,4,2026-09-18T11:35:44.933709Z
187,24,B+,WHOLE_BLOOD,180,4,2026-09-18T11:35:44.933713Z
188,24,B-,WHOLE_BLOOD,6,1,2026-09-18T11:35:44.933717Z
189,24,AB+,WHOLE_BLOOD,59,3,2026-09-18T11:35:44.933721Z
190,24,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933726Z
191,24,O+,WHOLE_BLOOD,346,2,2026-09-18T11:35:44.933731Z
192,24,O-,WHOLE_BLOOD,13,4,2026-09-18T11:35:44.933736Z
193,25,A+,WHOLE_BLOOD,57,2,2026-09-18T11:35:44.933745Z
194,25,A-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.933749Z
195,25,B+,WHOLE_BLOOD,53,1,2026-09-18T11:35:44.933753Z
196,25,B-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.933757Z
197,25,AB+,WHOLE_BLOOD,14,1,2026-09-18T11:35:44.933761Z
198,25,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933765Z
199,25,O+,WHOLE_BLOOD,117,3,2026-09-18T11:35:44.933771Z
200,25,O-,WHOLE_BLOOD,5,1,2026-09-18T11:35:44.933775Z
201,26,A+,WHOLE_BLOOD,69,4,2026-09-18T11:35:44.933783Z
202,26,A-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933788Z
203,26,B+,WHOLE_BLOOD,109,2,2026-09-18T11:35:44.933792Z
204,26,B-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.933797Z
205,26,AB+,WHOLE_BLOOD,15,4,2026-09-18T11:35:44.933801Z
206,26,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933805Z
207,26,O+,WHOLE_BLOOD,76,2,2026-09-18T11:35:44.933810Z
208,26,O-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.933814Z
209,27,A+,WHOLE_BLOOD,103,1,2026-09-18T11:35:44.933822Z
210,27,A-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.933827Z
211,27,B+,WHOLE_BLOOD,159,4,2026-09-18T11:35:44.933833Z
212,27,B-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.933837Z
213,27,AB+,WHOLE_BLOOD,8,3,2026-09-18T11:35:44.933841Z
214,27,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933845Z
215,27,O+,WHOLE_BLOOD,63,2,2026-09-18T11:35:44.933849Z
216,27,O-,WHOLE_BLOOD,3,1,2026-09-18T11:35:44.933853Z
217,28,A+,WHOLE_BLOOD,125,3,2026-09-18T11:35:44.933862Z
218,28,A-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.933866Z
219,28,B+,WHOLE_BLOOD,128,4,2026-09-18T11:35:44.933870Z
220,28,B-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933874Z
221,28,AB+,WHOLE_BLOOD,17,0,2026-09-18T11:35:44.933880Z
222,28,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933884Z
223,28,O+,WHOLE_BLOOD,211,1,2026-09-18T11:35:44.933888Z
224,28,O-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.933892Z
225,29,A+,WHOLE_BLOOD,50,1,2026-09-18T11:35:44.933902Z
226,29,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933907Z
227,29,B+,WHOLE_BLOOD,92,1,2026-09-18T11:35:44.933911Z
228,29,B-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.933915Z
229,29,AB+,WHOLE_BLOOD,19,1,2026-09-18T11:35:44.933919Z
230,29,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.933924Z
231,29,O+,WHOLE_BLOOD,86,2,2026-09-18T11:35:44.933929Z
232,29,O-,WHOLE_BLOOD,3,3,2026-09-18T11:35:44.933933Z
233,30,A+,WHOLE_BLOOD,29,2,2026-09-18T11:35:44.933942Z
234,30,A-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.933947Z
235,30,B+,WHOLE_BLOOD,143,4,2026-09-18T11:35:44.933951Z
236,30,B-,WHOLE_BLOOD,4,2,2026-09-18T11:35:44.933955Z
237,30,AB+,WHOLE_BLOOD,23,2,2026-09-18T11:35:44.933959Z
238,30,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.933963Z
239,30,O+,WHOLE_BLOOD,35,3,2026-09-18T11:35:44.933967Z
240,30,O-,WHOLE_BLOOD,6,0,2026-09-18T11:35:44.933971Z
241,31,A+,WHOLE_BLOOD,62,4,2026-09-18T11:35:44.933980Z
242,31,A-,WHOLE_BLOOD,3,2,2026-09-18T11:35:44.933984Z
243,31,B+,WHOLE_BLOOD,117,4,2026-09-18T11:35:44.933988Z
244,31,B-,WHOLE_BLOOD,4,3,2026-09-18T11:35:44.933994Z
245,31,AB+,WHOLE_BLOOD,20,4,2026-09-18T11:35:44.933998Z
246,31,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934002Z
247,31,O+,WHOLE_BLOOD,171,0,2026-09-18T11:35:44.934006Z
248,31,O-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.934011Z
249,32,A+,WHOLE_BLOOD,84,3,2026-09-18T11:35:44.934021Z
250,32,A-,WHOLE_BLOOD,4,1,2026-09-18T11:35:44.934025Z
251,32,B+,WHOLE_BLOOD,157,2,2026-09-18T11:35:44.934029Z
252,32,B-,WHOLE_BLOOD,7,2,2026-09-18T11:35:44.934033Z
253,32,AB+,WHOLE_BLOOD,23,4,2026-09-18T11:35:44.934037Z
254,32,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934041Z
255,32,O+,WHOLE_BLOOD,200,4,2026-09-18T11:35:44.934045Z
256,32,O-,WHOLE_BLOOD,12,0,2026-09-18T11:35:44.934048Z
257,33,A+,WHOLE_BLOOD,133,3,2026-09-18T11:35:44.934057Z
258,33,A-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.934062Z
259,33,B+,WHOLE_BLOOD,67,1,2026-09-18T11:35:44.934066Z
260,33,B-,WHOLE_BLOOD,4,1,2026-09-18T11:35:44.934070Z
261,33,AB+,WHOLE_BLOOD,25,4,2026-09-18T11:35:44.934074Z
262,33,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934078Z
263,33,O+,WHOLE_BLOOD,166,4,2026-09-18T11:35:44.934083Z
264,33,O-,WHOLE_BLOOD,5,3,2026-09-18T11:35:44.934087Z
265,34,A+,WHOLE_BLOOD,42,4,2026-09-18T11:35:44.934096Z
266,34,A-,WHOLE_BLOOD,5,1,2026-09-18T11:35:44.934100Z
267,34,B+,WHOLE_BLOOD,75,3,2026-09-18T11:35:44.934104Z
268,34,B-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.934108Z
269,34,AB+,WHOLE_BLOOD,49,4,2026-09-18T11:35:44.934113Z
270,34,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934118Z
271,34,O+,WHOLE_BLOOD,229,2,2026-09-18T11:35:44.934122Z
272,34,O-,WHOLE_BLOOD,3,1,2026-09-18T11:35:44.934127Z
273,35,A+,WHOLE_BLOOD,77,4,2026-09-18T11:35:44.934146Z
274,35,A-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934152Z
275,35,B+,WHOLE_BLOOD,80,3,2026-09-18T11:35:44.934156Z
276,35,B-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934160Z
277,35,AB+,WHOLE_BLOOD,16,3,2026-09-18T11:35:44.934164Z
278,35,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934167Z
279,35,O+,WHOLE_BLOOD,42,0,2026-09-18T11:35:44.934171Z
280,35,O-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.934175Z
281,36,A+,WHOLE_BLOOD,164,0,2026-09-18T11:35:44.934184Z
282,36,A-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.934188Z
283,36,B+,WHOLE_BLOOD,330,0,2026-09-18T11:35:44.934192Z
284,36,B-,WHOLE_BLOOD,12,0,2026-09-18T11:35:44.934196Z
285,36,AB+,WHOLE_BLOOD,47,3,2026-09-18T11:35:44.934199Z
286,36,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934204Z
287,36,O+,WHOLE_BLOOD,324,3,2026-09-18T11:35:44.934207Z
288,36,O-,WHOLE_BLOOD,8,3,2026-09-18T11:35:44.934211Z
289,37,A+,WHOLE_BLOOD,162,4,2026-09-18T11:35:44.934222Z
290,37,A-,WHOLE_BLOOD,6,0,2026-09-18T11:35:44.934226Z
291,37,B+,WHOLE_BLOOD,330,1,2026-09-18T11:35:44.934230Z
292,37,B-,WHOLE_BLOOD,8,2,2026-09-18T11:35:44.934234Z
293,37,AB+,WHOLE_BLOOD,54,1,2026-09-18T11:35:44.934238Z
294,37,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934242Z
295,37,O+,WHOLE_BLOOD,118,3,2026-09-18T11:35:44.934246Z
296,37,O-,WHOLE_BLOOD,8,4,2026-09-18T11:35:44.934250Z
297,38,A+,WHOLE_BLOOD,42,1,2026-09-18T11:35:44.934258Z
298,38,A-,WHOLE_BLOOD,5,4,2026-09-18T11:35:44.934262Z
299,38,B+,WHOLE_BLOOD,197,1,2026-09-18T11:35:44.934267Z
300,38,B-,WHOLE_BLOOD,4,4,2026-09-18T11:35:44.934270Z
301,38,AB+,WHOLE_BLOOD,21,1,2026-09-18T11:35:44.934274Z
302,38,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934278Z
303,38,O+,WHOLE_BLOOD,72,1,2026-09-18T11:35:44.934282Z
304,38,O-,WHOLE_BLOOD,10,4,2026-09-18T11:35:44.934286Z
305,39,A+,WHOLE_BLOOD,44,2,2026-09-18T11:35:44.934295Z
306,39,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934299Z
307,39,B+,WHOLE_BLOOD,67,3,2026-09-18T11:35:44.934303Z
308,39,B-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934309Z
309,39,AB+,WHOLE_BLOOD,22,2,2026-09-18T11:35:44.934313Z
310,39,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934318Z
311,39,O+,WHOLE_BLOOD,32,4,2026-09-18T11:35:44.934322Z
312,39,O-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.934326Z
313,40,A+,WHOLE_BLOOD,63,1,2026-09-18T11:35:44.934335Z
314,40,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934339Z
315,40,B+,WHOLE_BLOOD,107,1,2026-09-18T11:35:44.934343Z
316,40,B-,WHOLE_BLOOD,3,3,2026-09-18T11:35:44.934347Z
317,40,AB+,WHOLE_BLOOD,17,3,2026-09-18T11:35:44.934350Z
318,40,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934354Z
319,40,O+,WHOLE_BLOOD,60,2,2026-09-18T11:35:44.934358Z
320,40,O-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.934362Z
321,41,A+,WHOLE_BLOOD,113,3,2026-09-18T11:35:44.934371Z
322,41,A-,WHOLE_BLOOD,4,4,2026-09-18T11:35:44.934377Z
323,41,B+,WHOLE_BLOOD,45,0,2026-09-18T11:35:44.934381Z
324,41,B-,WHOLE_BLOOD,3,2,2026-09-18T11:35:44.934385Z
325,41,AB+,WHOLE_BLOOD,13,3,2026-09-18T11:35:44.934389Z
326,41,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934393Z
327,41,O+,WHOLE_BLOOD,190,4,2026-09-18T11:35:44.934397Z
328,41,O-,WHOLE_BLOOD,5,0,2026-09-18T11:35:44.934402Z
329,42,A+,WHOLE_BLOOD,151,1,2026-09-18T11:35:44.934410Z
330,42,A-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.934414Z
331,42,B+,WHOLE_BLOOD,258,3,2026-09-18T11:35:44.934418Z
332,42,B-,WHOLE_BLOOD,8,3,2026-09-18T11:35:44.934424Z
333,42,AB+,WHOLE_BLOOD,15,4,2026-09-18T11:35:44.934428Z
334,42,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934433Z
335,42,O+,WHOLE_BLOOD,135,0,2026-09-18T11:35:44.934436Z
336,42,O-,WHOLE_BLOOD,7,0,2026-09-18T11:35:44.934440Z
337,43,A+,WHOLE_BLOOD,55,1,2026-09-18T11:35:44.934448Z
