id,phc_id,medicine_id,record_date,quantity_used
91,5,11,2025-09-16,4
92,5,12,2025-09-16,27
93,5,13,2025-09-16,29
94,5,14,2025-09-16,14
95,5,15,2025-09-16,11
96,5,16,2025-09-16,0
97,5,17,2025-09-16,3
98,5,18,2025-09-16,3
99,5,19,2025-09-16,0
100,5,20,2025-09-16,5
101,6,1,2025-09-16,10
102,6,2,2025-09-16,8
103,6,3,2025-09-16,17
104,6,4,2025-09-16,9
105,6,5,2025-09-16,115
106,6,6,2025-09-16,9
107,6,7,2025-09-16,71
108,6,8,2025-09-16,47
109,6,9,2025-09-16,46
110,6,10,2025-09-16,10
111,6,11,2025-09-16,3
112,6,12,2025-09-16,34
113,6,13,2025-09-16,31
114,6,14,2025-09-16,23
115,6,15,2025-09-16,20
116,6,16,2025-09-16,0
117,6,17,2025-09-16,2
118,6,18,2025-09-16,7
119,6,19,2025-09-16,3
120,6,20,2025-09-16,7
121,7,1,2025-09-16,20
122,7,2,2025-09-16,10
123,7,3,2025-09-16,23
124,7,4,2025-09-16,14
125,7,5,2025-09-16,91
126,7,6,2025-09-16,12
127,7,7,2025-09-16,83
128,7,8,2025-09-16,44
129,7,9,2025-09-16,37
130,7,10,2025-09-16,9
131,7,11,2025-09-16,5
132,7,12,2025-09-16,46
133,7,13,2025-09-16,27
134,7,14,2025-09-16,24
135,7,15,2025-09-16,19
136,7,16,2025-09-16,2
137,7,17,2025-09-16,2
138,7,18,2025-09-16,7
139,7,19,2025-09-16,4
140,7,20,2025-09-16,5
141,8,1,2025-09-16,7
142,8,2,2025-09-16,7
143,8,3,2025-09-16,17
144,8,4,2025-09-16,12
145,8,5,2025-09-16,100
146,8,6,2025-09-16,17
147,8,7,2025-09-16,72
148,8,8,2025-09-16,36
149,8,9,2025-09-16,29
150,8,10,2025-09-16,7
151,8,11,2025-09-16,4
152,8,12,2025-09-16,39
153,8,13,2025-09-16,32
154,8,14,2025-09-16,19
155,8,15,2025-09-16,20
156,8,16,2025-09-16,3
157,8,17,2025-09-16,4
158,8,18,2025-09-16,6
159,8,19,2025-09-16,2
160,8,20,2025-09-16,6
161,9,1,2025-09-16,12
162,9,2,2025-09-16,7
163,9,3,2025-09-16,18
164,9,4,2025-09-16,8
165,9,5,2025-09-16,74
166,9,6,2025-09-16,12
167,9,7,2025-09-16,47
168,9,8,2025-09-16,35
169,9,9,2025-09-16,24
170,9,10,2025-09-16,6
171,9,11,2025-09-16,5
172,9,12,2025-09-16,30
173,9,13,2025-09-16,22
174,9,14,2025-09-16,18
175,9,15,2025-09-16,13
176,9,16,2025-09-16,1
177,9,17,2025-09-16,2
178,9,18,2025-09-16,3
179,9,19,2025-09-16,1
180,9,20,2025-09-16,2
181,10,1,2025-09-16,8
182,10,2,2025-09-16,5
183,10,3,2025-09-16,10
184,10,4,2025-09-16,5
185,10,5,2025-09-16,53
186,10,6,2025-09-16,5
187,10,7,2025-09-16,26
188,10,8,2025-09-16,21
189,10,9,2025-09-16,18
190,10,10,2025-09-16,5
191,10,11,2025-09-16,1
192,10,12,2025-09-16,21
193,10,13,2025-09-16,14
194,10,14,2025-09-16,9
195,10,15,2025-09-16,9
196,10,16,2025-09-16,1
197,10,17,2025-09-16,2
198,10,18,2025-09-16,3
199,10,19,2025-09-16,2
200,10,20,2025-09-16,3
201,11,1,2025-09-16,7
202,11,2,2025-09-16,8
203,11,3,2025-09-16,10
204,11,4,2025-09-16,7
205,11,5,2025-09-16,59
206,11,6,2025-09-16,9
207,11,7,2025-09-16,38
208,11,8,2025-09-16,19
209,11,9,2025-09-16,18
210,11,10,2025-09-16,4
211,11,11,2025-09-16,3
212,11,12,2025-09-16,23
213,11,13,2025-09-16,18
214,11,14,2025-09-16,15
215,11,15,2025-09-16,10
216,11,16,2025-09-16,2
217,11,17,2025-09-16,1
218,11,18,2025-09-16,4
219,11,19,2025-09-16,0
220,11,20,2025-09-16,4
221,12,1,2025-09-16,11
222,12,2,2025-09-16,5
223,12,3,2025-09-16,14
224,12,4,2025-09-16,7
225,12,5,2025-09-16,87
226,12,6,2025-09-16,13
227,12,7,2025-09-16,51
228,12,8,2025-09-16,24
229,12,9,2025-09-16,20
230,12,10,2025-09-16,6
231,12,11,2025-09-16,3
232,12,12,2025-09-16,31
233,12,13,2025-09-16,19
234,12,14,2025-09-16,19
235,12,15,2025-09-16,12
236,12,16,2025-09-16,0
237,12,17,2025-09-16,1
238,12,18,2025-09-16,1
239,12,19,2025-09-16,1
240,12,20,2025-09-16,3
241,13,1,2025-09-16,6
242,13,2,2025-09-16,3
243,13,3,2025-09-16,11
244,13,4,2025-09-16,6
245,13,5,2025-09-16,37
246,13,6,2025-09-16,9
247,13,7,2025-09-16,22
248,13,8,2025-09-16,18
249,13,9,2025-09-16,21
250,13,10,2025-09-16,2
251,13,11,2025-09-16,3
252,13,12,2025-09-16,15
253,13,13,2025-09-16,14
254,13,14,2025-09-16,10
255,13,15,2025-09-16,11
256,13,16,2025-09-16,0
257,13,17,2025-09-16,1
258,13,18,2025-09-16,3
259,13,19,2025-09-16,1
260,13,20,2025-09-16,2
261,14,1,2025-09-16,11
262,14,2,2025-09-16,4
263,14,3,2025-09-16,12
264,14,4,2025-09-16,8
265,14,5,2025-09-16,64
266,14,6,2025-09-16,10
267,14,7,2025-09-16,44
268,14,8,2025-09-16,26
269,14,9,2025-09-16,20
270,14,10,2025-09-16,7
271,14,11,2025-09-16,2
272,14,12,2025-09-16,33
273,14,13,2025-09-16,22
274,14,14,2025-09-16,11
275,14,15,2025-09-16,12
276,14,16,2025-09-16,1
277,14,17,2025-09-16,2
278,14,18,2025-09-16,5
279,14,19,2025-09-16,1
280,14,20,2025-09-16,3
281,15,1,2025-09-16,6
282,15,2,2025-09-16,4
283,15,3,2025-09-16,10
284,15,4,2025-09-16,5
285,15,5,2025-09-16,45
286,15,6,2025-09-16,9
287,15,7,2025-09-16,32
288,15,8,2025-09-16,19
289,15,9,2025-09-16,18
290,15,10,2025-09-16,5
291,15,11,2025-09-16,1
292,15,12,2025-09-16,25
293,15,13,2025-09-16,19
294,15,14,2025-09-16,12
295,15,15,2025-09-16,9
296,15,16,2025-09-16,1
297,15,17,2025-09-16,1
298,15,18,2025-09-16,4
299,15,19,2025-09-16,3
300,15,20,2025-09-16,3
301,16,1,2025-09-16,11
302,16,2,2025-09-16,5
303,16,3,2025-09-16,18
304,16,4,2025-09-16,6
305,16,5,2025-09-16,105
306,16,6,2025-09-16,15
307,16,7,2025-09-16,55
308,16,8,2025-09-16,36
309,16,9,2025-09-16,37
310,16,10,2025-09-16,6
311,16,11,2025-09-16,3
312,16,12,2025-09-16,29
313,16,13,2025-09-16,24
314,16,14,2025-09-16,15
315,16,15,2025-09-16,14
316,16,16,2025-09-16,1
317,16,17,2025-09-16,1
318,16,18,2025-09-16,6
319,16,19,2025-09-16,0
320,16,20,2025-09-16,3
321,17,1,2025-09-16,13
322,17,2,2025-09-16,6
323,17,3,2025-09-16,14
324,17,4,2025-09-16,9
325,17,5,2025-09-16,77
326,17,6,2025-09-16,15
327,17,7,2025-09-16,53
328,17,8,2025-09-16,44
329,17,9,2025-09-16,34
330,17,10,2025-09-16,10
331,17,11,2025-09-16,5
332,17,12,2025-09-16,41
333,17,13,2025-09-16,32
334,17,14,2025-09-16,18
335,17,15,2025-09-16,15
336,17,16,2025-09-16,0
337,17,17,2025-09-16,3
338,17,18,2025-09-16,4
339,17,19,2025-09-16,2
340,17,20,2025-09-16,5
341,18,1,2025-09-16,8
342,18,2,2025-09-16,4
343,18,3,2025-09-16,11
344,18,4,2025-09-16,5
345,18,5,2025-09-16,57
346,18,6,2025-09-16,6
347,18,7,2025-09-16,23
348,18,8,2025-09-16,29
349,18,9,2025-09-16,15
350,18,10,2025-09-16,5
351,18,11,2025-09-16,1
352,18,12,2025-09-16,18
353,18,13,2025-09-16,17
354,18,14,2025-09-16,12
355,18,15,2025-09-16,12
356,18,16,2025-09-16,1
357,18,17,2025-09-16,1
358,18,18,2025-09-16,4
359,18,19,2025-09-16,2
360,18,20,2025-09-16,3
361,19,1,2025-09-16,11
362,19,2,2025-09-16,5
363,19,3,2025-09-16,14
364,19,4,2025-09-16,7
365,19,5,2025-09-16,65
366,19,6,2025-09-16,7
367,19,7,2025-09-16,30
368,19,8,2025-09-16,25
369,19,9,2025-09-16,14
370,19,10,2025-09-16,5
371,19,11,2025-09-16,4
372,19,12,2025-09-16,20
373,19,13,2025-09-16,20
374,19,14,2025-09-16,9
375,19,15,2025-09-16,9
376,19,16,2025-09-16,2
377,19,17,2025-09-16,2
378,19,18,2025-09-16,3
379,19,19,2025-09-16,3
380,19,20,2025-09-16,4
381,20,1,2025-09-16,5
382,20,2,2025-09-16,3
383,20,3,2025-09-16,7
384,20,4,2025-09-16,5
385,20,5,2025-09-16,29
386,20,6,2025-09-16,6
387,20,7,2025-09-16,27
388,20,8,2025-09-16,19
389,20,9,2025-09-16,12
390,20,10,2025-09-16,4
391,20,11,2025-09-16,1
392,20,12,2025-09-16,18
393,20,13,2025-09-16,12
394,20,14,2025-09-16,6
395,20,15,2025-09-16,7
396,20,16,2025-09-16,1
397,20,17,2025-09-16,1
398,20,18,2025-09-16,1
399,20,19,2025-09-16,0
400,20,20,2025-09-16,0
401,21,1,2025-09-16,6
402,21,2,2025-09-16,5
403,21,3,2025-09-16,11
404,21,4,2025-09-16,6
405,21,5,2025-09-16,65
406,21,6,2025-09-16,8
407,21,7,2025-09-16,27
408,21,8,2025-09-16,26
409,21,9,2025-09-16,20
410,21,10,2025-09-16,5
411,21,11,2025-09-16,1
412,21,12,2025-09-16,26
413,21,13,2025-09-16,18
414,21,14,2025-09-16,8
415,21,15,2025-09-16,10
416,21,16,2025-09-16,0
417,21,17,2025-09-16,1
418,21,18,2025-09-16,2
419,21,19,2025-09-16,0
420,21,20,2025-09-16,2
421,22,1,2025-09-16,10
422,22,2,2025-09-16,6
423,22,3,2025-09-16,16
424,22,4,2025-09-16,7
425,22,5,2025-09-16,70
426,22,6,2025-09-16,12
427,22,7,2025-09-16,60
428,22,8,2025-09-16,36
429,22,9,2025-09-16,30
430,22,10,2025-09-16,8
431,22,11,2025-09-16,4
432,22,12,2025-09-16,19
433,22,13,2025-09-16,25
434,22,14,2025-09-16,16
435,22,15,2025-09-16,12
436,22,16,2025-09-16,1
437,22,17,2025-09-16,1
438,22,18,2025-09-16,4
439,22,19,2025-09-16,2
440,22,20,2025-09-16,2
441,23,1,2025-09-16,5
442,23,2,2025-09-16,4
443,23,3,2025-09-16,8
444,23,4,2025-09-16,4
445,23,5,2025-09-16,40
446,23,6,2025-09-16,8
447,23,7,2025-09-16,31
448,23,8,2025-09-16,17
449,23,9,2025-09-16,14
450,23,10,2025-09-16,4
451,23,11,2025-09-16,3
452,23,12,2025-09-16,15
453,23,13,2025-09-16,16
454,23,14,2025-09-16,9
455,23,15,2025-09-16,12
456,23,16,2025-09-16,0
457,23,17,2025-09-16,0
458,23,18,2025-09-16,3
459,23,19,2025-09-16,0
460,23,20,2025-09-16,3
461,24,1,2025-09-16,13
462,24,2,2025-09-16,6
463,24,3,2025-09-16,17
464,24,4,2025-09-16,12
465,24,5,2025-09-16,100
466,24,6,2025-09-16,11
467,24,7,2025-09-16,73
468,24,8,2025-09-16,46
469,24,9,2025-09-16,33
470,24,10,2025-09-16,7
471,24,11,2025-09-16,4
472,24,12,2025-09-16,30
473,24,13,2025-09-16,30
474,24,14,2025-09-16,18
475,24,15,2025-09-16,9
476,24,16,2025-09-16,2
477,24,17,2025-09-16,2
478,24,18,2025-09-16,6
479,24,19,2025-09-16,2
480,24,20,2025-09-16,5
481,25,1,2025-09-16,8
482,25,2,2025-09-16,7
483,25,3,2025-09-16,10
484,25,4,2025-09-16,6
485,25,5,2025-09-16,68
486,25,6,2025-09-16,7
487,25,7,2025-09-16,28
488,25,8,2025-09-16,17
489,25,9,2025-09-16,20
490,25,10,2025-09-16,6
491,25,11,2025-09-16,3
492,25,12,2025-09-16,16
493,25,13,2025-09-16,19
494,25,14,2025-09-16,14
495,25,15,2025-09-16,9
496,25,16,2025-09-16,1
497,25,17,2025-09-16,2
498,25,18,2025-09-16,3
499,25,19,2025-09-16,2
500,25,20,2025-09-16,2
501,26,1,2025-09-16,12
502,26,2,2025-09-16,7
503,26,3,2025-09-16,15
504,26,4,2025-09-16,9
505,26,5,2025-09-16,56
506,26,6,2025-09-16,14
507,26,7,2025-09-16,47
508,26,8,2025-09-16,35
509,26,9,2025-09-16,32
510,26,10,2025-09-16,6
511,26,11,2025-09-16,5
512,26,12,2025-09-16,33
513,26,13,2025-09-16,25
514,26,14,2025-09-16,19
515,26,15,2025-09-16,10
516,26,16,2025-09-16,2
517,26,17,2025-09-16,2
518,26,18,2025-09-16,5
519,26,19,2025-09-16,1
520,26,20,2025-09-16,4
521,27,1,2025-09-16,6
522,27,2,2025-09-16,4
523,27,3,2025-09-16,14
524,27,4,2025-09-16,6
525,27,5,2025-09-16,48
526,27,6,2025-09-16,10
527,27,7,2025-09-16,25
528,27,8,2025-09-16,16
529,27,9,2025-09-16,20
530,27,10,2025-09-16,6
531,27,11,2025-09-16,3
532,27,12,2025-09-16,20
533,27,13,2025-09-16,18
534,27,14,2025-09-16,10
535,27,15,2025-09-16,10
536,27,16,2025-09-16,0
537,27,17,2025-09-16,1
538,27,18,2025-09-16,4
539,27,19,2025-09-16,0
540,27,20,2025-09-16,2
541,28,1,2025-09-16,5
542,28,2,2025-09-16,4
543,28,3,2025-09-16,7
544,28,4,2025-09-16,4
545,28,5,2025-09-16,59
546,28,6,2025-09-16,8
547,28,7,2025-09-16,26
548,28,8,2025-09-16,21
549,28,9,2025-09-16,18
550,28,10,2025-09-16,5
551,28,11,2025-09-16,4
552,28,12,2025-09-16,21
553,28,13,2025-09-16,7
554,28,14,2025-09-16,10
555,28,15,2025-09-16,7
556,28,16,2025-09-16,1
557,28,17,2025-09-16,1
558,28,18,2025-09-16,2
559,28,19,2025-09-16,0
560,28,20,2025-09-16,4
561,29,1,2025-09-16,12
562,29,2,2025-09-16,6
563,29,3,2025-09-16,17
564,29,4,2025-09-16,7
565,29,5,2025-09-16,83
566,29,6,2025-09-16,10
567,29,7,2025-09-16,59
568,29,8,2025-09-16,31
569,29,9,2025-09-16,15
570,29,10,2025-09-16,7
571,29,11,2025-09-16,2
572,29,12,2025-09-16,29
573,29,13,2025-09-16,23
574,29,14,2025-09-16,15
575,29,15,2025-09-16,9
576,29,16,2025-09-16,0
577,29,17,2025-09-16,1
578,29,18,2025-09-16,4
579,29,19,2025-09-16,3
580,29,20,2025-09-16,4
581,30,1,2025-09-16,6
582,30,2,2025-09-16,5
583,30,3,2025-09-16,11
584,30,4,2025-09-16,7
585,30,5,2025-09-16,63
586,30,6,2025-09-16,8
587,30,7,2025-09-16,43
588,30,8,2025-09-16,25
589,30,9,2025-09-16,28
590,30,10,2025-09-16,5
591,30,11,2025-09-16,4
592,30,12,2025-09-16,26
593,30,13,2025-09-16,14
594,30,14,2025-09-16,16
595,30,15,2025-09-16,8
596,30,16,2025-09-16,0
597,30,17,2025-09-16,2
598,30,18,2025-09-16,4
599,30,19,2025-09-16,1
600,30,20,2025-09-16,3
601,31,1,2025-09-16,7
602,31,2,2025-09-16,5
603,31,3,2025-09-16,9
604,31,4,2025-09-16,6
605,31,5,2025-09-16,46
606,31,6,2025-09-16,5
607,31,7,2025-09-16,30
608,31,8,2025-09-16,31
609,31,9,2025-09-16,16
610,31,10,2025-09-16,5
611,31,11,2025-09-16,2
612,31,12,2025-09-16,27
613,31,13,2025-09-16,18
614,31,14,2025-09-16,14
615,31,15,2025-09-16,10
616,31,16,2025-09-16,0
617,31,17,2025-09-16,0
618,31,18,2025-09-16,4
619,31,19,2025-09-16,1
620,31,20,2025-09-16,4
621,32,1,2025-09-16,6
622,32,2,2025-09-16,6
623,32,3,2025-09-16,8
624,32,4,2025-09-16,5
625,32,5,2025-09-16,50
626,32,6,2025-09-16,6
627,32,7,2025-09-16,34
628,32,8,2025-09-16,17
629,32,9,2025-09-16,19
630,32,10,2025-09-16,5
631,32,11,2025-09-16,3
632,32,12,2025-09-16,16
633,32,13,2025-09-16,14
634,32,14,2025-09-16,10
635,32,15,2025-09-16,5
636,32,16,2025-09-16,0
637,32,17,2025-09-16,2
638,32,18,2025-09-16,1
639,32,19,2025-09-16,2
640,32,20,2025-09-16,2
641,33,1,2025-09-16,8
642,33,2,2025-09-16,5
643,33,3,2025-09-16,12
644,33,4,2025-09-16,7
645,33,5,2025-09-16,65
646,33,6,2025-09-16,9
647,33,7,2025-09-16,27
648,33,8,2025-09-16,29
649,33,9,2025-09-16,14
650,33,10,2025-09-16,5
651,33,11,2025-09-16,3
652,33,12,2025-09-16,24
653,33,13,2025-09-16,22
654,33,14,2025-09-16,12
655,33,15,2025-09-16,6
656,33,16,2025-09-16,1
657,33,17,2025-09-16,2
658,33,18,2025-09-16,3
659,33,19,2025-09-16,2
660,33,20,2025-09-16,2
661,34,1,2025-09-16,4
662,34,2,2025-09-16,4
663,34,3,2025-09-16,7
664,34,4,2025-09-16,2
665,34,5,2025-09-16,40
666,34,6,2025-09-16,8
667,34,7,2025-09-16,14
668,34,8,2025-09-16,17
669,34,9,2025-09-16,13
670,34,10,2025-09-16,3
671,34,11,2025-09-16,2
672,34,12,2025-09-16,15
673,34,13,2025-09-16,9
674,34,14,2025-09-16,9
675,34,15,2025-09-16,4
676,34,16,2025-09-16,3
677,34,17,2025-09-16,2
678,34,18,2025-09-16,1
679,34,19,2025-09-16,1
680,34,20,2025-09-16,3
681,35,1,2025-09-16,6
682,35,2,2025-09-16,4
683,35,3,2025-09-16,7
684,35,4,2025-09-16,5
685,35,5,2025-09-16,46
686,35,6,2025-09-16,6
687,35,7,2025-09-16,24
688,35,8,2025-09-16,14
689,35,9,2025-09-16,11
690,35,10,2025-09-16,3
691,35,11,2025-09-16,0
692,35,12,2025-09-16,15
693,35,13,2025-09-16,14
694,35,14,2025-09-16,9
695,35,15,2025-09-16,6
696,35,16,2025-09-16,0
697,35,17,2025-09-16,0
698,35,18,2025-09-16,1
699,35,19,2025-09-16,0
700,35,20,2025-09-16,3
701,36,1,2025-09-16,11
702,36,2,2025-09-16,10
703,36,3,2025-09-16,11
704,36,4,2025-09-16,10
705,36,5,2025-09-16,80
706,36,6,2025-09-16,12
707,36,7,2025-09-16,60
708,36,8,2025-09-16,39
709,36,9,2025-09-16,24
710,36,10,2025-09-16,9
711,36,11,2025-09-16,4
712,36,12,2025-09-16,43
713,36,13,2025-09-16,24
714,36,14,2025-09-16,24
715,36,15,2025-09-16,14
716,36,16,2025-09-16,0
717,36,17,2025-09-16,3
718,36,18,2025-09-16,5
719,36,19,2025-09-16,1
720,36,20,2025-09-16,5
721,37,1,2025-09-16,10
722,37,2,2025-09-16,6
723,37,3,2025-09-16,15
724,37,4,2025-09-16,8
725,37,5,2025-09-16,57
726,37,6,2025-09-16,13
727,37,7,2025-09-16,47
728,37,8,2025-09-16,42
729,37,9,2025-09-16,26
730,37,10,2025-09-16,8
731,37,11,2025-09-16,3
732,37,12,2025-09-16,27
733,37,13,2025-09-16,22
734,37,14,2025-09-16,12
735,37,15,2025-09-16,10
736,37,16,2025-09-16,1
737,37,17,2025-09-16,2
738,37,18,2025-09-16,4
739,37,19,2025-09-16,2
740,37,20,2025-09-16,3
741,38,1,2025-09-16,8
742,38,2,2025-09-16,5
743,38,3,2025-09-16,7
744,38,4,2025-09-16,7
745,38,5,2025-09-16,53
746,38,6,2025-09-16,8
747,38,7,2025-09-16,26
748,38,8,2025-09-16,25
749,38,9,2025-09-16,14
750,38,10,2025-09-16,7
751,38,11,2025-09-16,3
752,38,12,2025-09-16,17
753,38,13,2025-09-16,17
754,38,14,2025-09-16,15
755,38,15,2025-09-16,9
756,38,16,2025-09-16,1
757,38,17,2025-09-16,1
758,38,18,2025-09-16,3
759,38,19,2025-09-16,0
760,38,20,2025-09-16,3
761,39,1,2025-09-16,8
762,39,2,2025-09-16,4
763,39,3,2025-09-16,13
764,39,4,2025-09-16,6
765,39,5,2025-09-16,58
766,39,6,2025-09-16,7
767,39,7,2025-09-16,47
768,39,8,2025-09-16,22
769,39,9,2025-09-16,21
770,39,10,2025-09-16,6
771,39,11,2025-09-16,2
772,39,12,2025-09-16,23
773,39,13,2025-09-16,19
774,39,14,2025-09-16,14
775,39,15,2025-09-16,8
776,39,16,2025-09-16,1
777,39,17,2025-09-16,0
778,39,18,2025-09-16,2
779,39,19,2025-09-16,0
780,39,20,2025-09-16,4
781,40,1,2025-09-16,8
782,40,2,2025-09-16,3
783,40,3,2025-09-16,9
784,40,4,2025-09-16,8
785,40,5,2025-09-16,39
786,40,6,2025-09-16,8
787,40,7,2025-09-16,32
788,40,8,2025-09-16,31
789,40,9,2025-09-16,15
790,40,10,2025-09-16,6
791,40,11,2025-09-16,4
792,40,12,2025-09-16,21
793,40,13,2025-09-16,18
794,40,14,2025-09-16,9
795,40,15,2025-09-16,9
796,40,16,2025-09-16,1
797,40,17,2025-09-16,0
798,40,18,2025-09-16,3
799,40,19,2025-09-16,1
800,40,20,2025-09-16,1
801,41,1,2025-09-16,6
802,41,2,2025-09-16,3
803,41,3,2025-09-16,7
804,41,4,2025-09-16,4
805,41,5,2025-09-16,49
806,41,6,2025-09-16,7
807,41,7,2025-09-16,30
808,41,8,2025-09-16,20
809,41,9,2025-09-16,17
810,41,10,2025-09-16,4
811,41,11,2025-09-16,3
812,41,12,2025-09-16,19
813,41,13,2025-09-16,17
814,41,14,2025-09-16,13
815,41,15,2025-09-16,6
816,41,16,2025-09-16,2
817,41,17,2025-09-16,3
818,41,18,2025-09-16,2
819,41,19,2025-09-16,1
820,41,20,2025-09-16,2
821,42,1,2025-09-16,9
822,42,2,2025-09-16,7
823,42,3,2025-09-16,12
824,42,4,2025-09-16,8
825,42,5,2025-09-16,90
826,42,6,2025-09-16,16
827,42,7,2025-09-16,46
828,42,8,2025-09-16,38
829,42,9,2025-09-16,27
830,42,10,2025-09-16,5
831,42,11,2025-09-16,3
832,42,12,2025-09-16,24
833,42,13,2025-09-16,22
834,42,14,2025-09-16,16
835,42,15,2025-09-16,13
836,42,16,2025-09-16,3
837,42,17,2025-09-16,2
838,42,18,2025-09-16,7
839,42,19,2025-09-16,1
840,42,20,2025-09-16,5
841,43,1,2025-09-16,8
842,43,2,2025-09-16,6
843,43,3,2025-09-16,15
844,43,4,2025-09-16,6
845,43,5,2025-09-16,59
846,43,6,2025-09-16,10
847,43,7,2025-09-16,37
848,43,8,2025-09-16,23
849,43,9,2025-09-16,28
850,43,10,2025-09-16,5
851,43,11,2025-09-16,5
852,43,12,2025-09-16,23
853,43,13,2025-09-16,18
854,43,14,2025-09-16,15
855,43,15,2025-09-16,10
856,43,16,2025-09-16,0
857,43,17,2025-09-16,1
858,43,18,2025-09-16,4
859,43,19,2025-09-16,0
860,43,20,2025-09-16,3
861,44,1,2025-09-16,4
862,44,2,2025-09-16,2
863,44,3,2025-09-16,5
864,44,4,2025-09-16,3
865,44,5,2025-09-16,33
866,44,6,2025-09-16,7
867,44,7,2025-09-16,16
868,44,8,2025-09-16,14
869,44,9,2025-09-16,13
870,44,10,2025-09-16,3
871,44,11,2025-09-16,1
872,44,12,2025-09-16,12
873,44,13,2025-09-16,10
874,44,14,2025-09-16,7
875,44,15,2025-09-16,3
876,44,16,2025-09-16,0
877,44,17,2025-09-16,0
878,44,18,2025-09-16,3
879,44,19,2025-09-16,1
880,44,20,2025-09-16,1
881,45,1,2025-09-16,9
882,45,2,2025-09-16,7
883,45,3,2025-09-16,15
884,45,4,2025-09-16,7
885,45,5,2025-09-16,56
886,45,6,2025-09-16,10
887,45,7,2025-09-16,44
888,45,8,2025-09-16,18
889,45,9,2025-09-16,27
890,45,10,2025-09-16,6
891,45,11,2025-09-16,4
892,45,12,2025-09-16,27
893,45,13,2025-09-16,34
894,45,14,2025-09-16,11
895,45,15,2025-09-16,10
896,45,16,2025-09-16,2
897,45,17,2025-09-16,4
898,45,18,2025-09-16,3
899,45,19,2025-09-16,3
900,45,20,2025-09-16,3
901,46,1,2025-09-16,14
902,46,2,2025-09-16,8
903,46,3,2025-09-16,12
904,46,4,2025-09-16,12
905,46,5,2025-09-16,57
906,46,6,2025-09-16,11
907,46,7,2025-09-16,63
908,46,8,2025-09-16,28
909,46,9,2025-09-16,22
910,46,10,2025-09-16,7
911,46,11,2025-09-16,4
912,46,12,2025-09-16,32
913,46,13,2025-09-16,20
914,46,14,2025-09-16,17
915,46,15,2025-09-16,14
916,46,16,2025-09-16,3
917,46,17,2025-09-16,2
918,46,18,2025-09-16,3
919,46,19,2025-09-16,1
920,46,20,2025-09-16,3
921,47,1,2025-09-16,11
922,47,2,2025-09-16,4
923,47,3,2025-09-16,16
924,47,4,2025-09-16,9
925,47,5,2025-09-16,70
926,47,6,2025-09-16,12
927,47,7,2025-09-16,42
928,47,8,2025-09-16,34
929,47,9,2025-09-16,23
930,47,10,2025-09-16,7
