id,phc_id,record_date,patient_count,emergency_count
282,82,2025-09-18,180,13
283,83,2025-09-18,194,11
284,84,2025-09-18,157,10
285,85,2025-09-18,173,8
286,86,2025-09-18,127,8
287,87,2025-09-18,137,10
288,88,2025-09-18,173,8
289,89,2025-09-18,238,12
290,90,2025-09-18,170,13
291,91,2025-09-18,158,9
292,92,2025-09-18,367,20
293,93,2025-09-18,211,13
294,94,2025-09-18,165,12
295,95,2025-09-18,211,12
296,96,2025-09-18,141,8
297,97,2025-09-18,189,9
298,98,2025-09-18,181,12
299,99,2025-09-18,166,8
300,100,2025-09-18,206,11
301,1,2025-09-19,152,9
302,2,2025-09-19,167,8
303,3,2025-09-19,193,10
304,4,2025-09-19,248,18
305,5,2025-09-19,224,14
306,6,2025-09-19,251,14
307,7,2025-09-19,310,16
308,8,2025-09-19,283,17
309,9,2025-09-19,210,13
310,10,2025-09-19,140,9
311,11,2025-09-19,179,14
312,12,2025-09-19,191,15
313,13,2025-09-19,142,6
314,14,2025-09-19,186,8
315,15,2025-09-19,153,10
316,16,2025-09-19,220,15
317,17,2025-09-19,192,8
318,18,2025-09-19,187,10
319,19,2025-09-19,161,10
320,20,2025-09-19,119,8
321,21,2025-09-19,109,6
322,22,2025-09-19,203,12
323,23,2025-09-19,115,6
324,24,2025-09-19,216,10
325,25,2025-09-19,131,8
326,26,2025-09-19,220,13
327,27,2025-09-19,123,4
328,28,2025-09-19,129,9
329,29,2025-09-19,222,14
330,30,2025-09-19,180,13
331,31,2025-09-19,141,10
332,32,2025-09-19,162,10
333,33,2025-09-19,137,7
334,34,2025-09-19,108,4
335,35,2025-09-19,108,1
336,36,2025-09-19,271,19
337,37,2025-09-19,197,12
338,38,2025-09-19,177,10
339,39,2025-09-19,143,8
340,40,2025-09-19,125,9
341,41,2025-09-19,136,11
342,42,2025-09-19,210,14
343,43,2025-09-19,176,10
344,44,2025-09-19,117,6
345,45,2025-09-19,173,10
346,46,2025-09-19,167,11
347,47,2025-09-19,143,5
348,48,2025-09-19,135,5
349,49,2025-09-19,143,8
350,50,2025-09-19,205,12
351,51,2025-09-19,208,12
352,52,2025-09-19,147,11
353,53,2025-09-19,118,9
354,54,2025-09-19,137,8
355,55,2025-09-19,164,9
356,56,2025-09-19,226,12
357,57,2025-09-19,120,8
358,58,2025-09-19,192,15
359,59,2025-09-19,185,10
360,60,2025-09-19,167,11
361,61,2025-09-19,182,11
362,62,2025-09-19,161,10
363,63,2025-09-19,259,16
364,64,2025-09-19,158,8
365,65,2025-09-19,200,13
366,66,2025-09-19,153,9
367,67,2025-09-19,200,10
368,68,2025-09-19,83,5
369,69,2025-09-19,156,8
370,70,2025-09-19,100,5
371,71,2025-09-19,181,11
372,72,2025-09-19,249,12
373,73,2025-09-19,210,14
374,74,2025-09-19,165,7
375,75,2025-09-19,180,9
376,76,2025-09-19,155,10
377,77,2025-09-19,98,4
378,78,2025-09-19,159,12
379,79,2025-09-19,140,8
380,80,2025-09-19,314,19
381,81,2025-09-19,155,12
382,82,2025-09-19,170,12
383,83,2025-09-19,208,14
384,84,2025-09-19,208,14
385,85,2025-09-19,167,10
386,86,2025-09-19,142,7
387,87,2025-09-19,195,10
388,88,2025-09-19,182,10
389,89,2025-09-19,272,12
390,90,2025-09-19,168,10
391,91,2025-09-19,166,8
392,92,2025-09-19,332,22
393,93,2025-09-19,203,11
394,94,2025-09-19,149,6
395,95,2025-09-19,214,13
396,96,2025-09-19,140,10
397,97,2025-09-19,166,8
398,98,2025-09-19,164,5
399,99,2025-09-19,176,11
400,100,2025-09-19,176,9
401,1,2025-09-20,144,4
402,2,2025-09-20,142,4
403,3,2025-09-20,200,10
404,4,2025-09-20,263,17
405,5,2025-09-20,224,15
406,6,2025-09-20,243,12
407,7,2025-09-20,322,15
408,8,2025-09-20,229,10
409,9,2025-09-20,198,9
410,10,2025-09-20,144,9
411,11,2025-09-20,183,9
412,12,2025-09-20,211,13
413,13,2025-09-20,131,8
414,14,2025-09-20,188,10
415,15,2025-09-20,147,8
416,16,2025-09-20,185,9
417,17,2025-09-20,238,15
418,18,2025-09-20,180,10
419,19,2025-09-20,170,10
420,20,2025-09-20,111,7
421,21,2025-09-20,125,8
422,22,2025-09-20,187,9
423,23,2025-09-20,117,7
424,24,2025-09-20,219,12
425,25,2025-09-20,138,7
426,26,2025-09-20,245,15
427,27,2025-09-20,163,11
428,28,2025-09-20,122,6
429,29,2025-09-20,191,12
430,30,2025-09-20,141,7
431,31,2025-09-20,144,9
432,32,2025-09-20,148,9
433,33,2025-09-20,141,10
434,34,2025-09-20,87,6
435,35,2025-09-20,107,5
436,36,2025-09-20,246,13
437,37,2025-09-20,211,9
438,38,2025-09-20,162,11
439,39,2025-09-20,136,8
440,40,2025-09-20,122,8
441,41,2025-09-20,120,6
442,42,2025-09-20,209,9
443,43,2025-09-20,162,11
444,44,2025-09-20,108,8
445,45,2025-09-20,194,13
446,46,2025-09-20,183,9
447,47,2025-09-20,162,9
448,48,2025-09-20,127,7
449,49,2025-09-20,149,7
450,50,2025-09-20,200,10
451,51,2025-09-20,191,7
452,52,2025-09-20,128,8
453,53,2025-09-20,112,6
454,54,2025-09-20,156,9
455,55,2025-09-20,170,13
456,56,2025-09-20,205,10
457,57,2025-09-20,109,8
458,58,2025-09-20,188,11
459,59,2025-09-20,163,10
460,60,2025-09-20,179,11
461,61,2025-09-20,195,12
462,62,2025-09-20,170,5
463,63,2025-09-20,255,17
464,64,2025-09-20,133,7
465,65,2025-09-20,207,11
466,66,2025-09-20,152,9
467,67,2025-09-20,198,12
468,68,2025-09-20,88,6
469,69,2025-09-20,199,14
470,70,2025-09-20,102,9
471,71,2025-09-20,230,14
472,72,2025-09-20,216,14
473,73,2025-09-20,179,12
474,74,2025-09-20,168,7
475,75,2025-09-20,189,10
476,76,2025-09-20,140,10
477,77,2025-09-20,117,8
478,78,2025-09-20,139,8
479,79,2025-09-20,125,9
480,80,2025-09-20,289,14
481,81,2025-09-20,159,12
482,82,2025-09-20,169,10
483,83,2025-09-20,159,9
484,84,2025-09-20,176,10
485,85,2025-09-20,194,8
486,86,2025-09-20,156,9
487,87,2025-09-20,144,6
488,88,2025-09-20,179,11
489,89,2025-09-20,268,14
490,90,2025-09-20,137,6
491,91,2025-09-20,147,5
492,92,2025-09-20,391,22
493,93,2025-09-20,215,11
494,94,2025-09-20,183,16
495,95,2025-09-20,230,13
496,96,2025-09-20,135,6
497,97,2025-09-20,204,12
498,98,2025-09-20,194,10
499,99,2025-09-20,145,10
500,100,2025-09-20,197,14
501,1,2025-09-21,89,7
502,2,2025-09-21,111,9
503,3,2025-09-21,104,10
504,4,2025-09-21,159,6
505,5,2025-09-21,124,6
506,6,2025-09-21,172,10
507,7,2025-09-21,177,12
508,8,2025-09-21,160,8
509,9,2025-09-21,115,5
510,10,2025-09-21,64,1
511,11,2025-09-21,128,5
512,12,2025-09-21,110,6
513,13,2025-09-21,68,3
514,14,2025-09-21,99,5
515,15,2025-09-21,73,3
516,16,2025-09-21,92,3
517,17,2025-09-21,124,5
518,18,2025-09-21,89,8
519,19,2025-09-21,78,8
520,20,2025-09-21,71,2
521,21,2025-09-21,86,3
522,22,2025-09-21,96,4
523,23,2025-09-21,83,1
524,24,2025-09-21,125,11
525,25,2025-09-21,68,5
526,26,2025-09-21,142,7
527,27,2025-09-21,80,3
528,28,2025-09-21,72,5
529,29,2025-09-21,97,7
530,30,2025-09-21,101,5
531,31,2025-09-21,71,5
532,32,2025-09-21,97,6
533,33,2025-09-21,66,5
534,34,2025-09-21,61,4
535,35,2025-09-21,62,0
536,36,2025-09-21,198,11
537,37,2025-09-21,121,8
538,38,2025-09-21,72,7
539,39,2025-09-21,86,5
540,40,2025-09-21,82,5
541,41,2025-09-21,85,4
542,42,2025-09-21,130,4
543,43,2025-09-21,86,2
544,44,2025-09-21,69,2
545,45,2025-09-21,97,6
546,46,2025-09-21,103,7
547,47,2025-09-21,124,6
548,48,2025-09-21,64,3
549,49,2025-09-21,64,2
550,50,2025-09-21,117,6
551,51,2025-09-21,105,4
552,52,2025-09-21,82,2
553,53,2025-09-21,83,8
554,54,2025-09-21,81,7
555,55,2025-09-21,99,2
556,56,2025-09-21,115,3
557,57,2025-09-21,75,5
558,58,2025-09-21,114,7
559,59,2025-09-21,108,4
560,60,2025-09-21,101,3
561,61,2025-09-21,126,6
562,62,2025-09-21,80,4
563,63,2025-09-21,107,7
564,64,2025-09-21,91,6
565,65,2025-09-21,115,6
566,66,2025-09-21,81,8
567,67,2025-09-21,116,8
568,68,2025-09-21,54,2
569,69,2025-09-21,86,7
570,70,2025-09-21,70,5
571,71,2025-09-21,113,6
572,72,2025-09-21,147,10
573,73,2025-09-21,107,8
574,74,2025-09-21,86,6
575,75,2025-09-21,92,5
576,76,2025-09-21,116,6
577,77,2025-09-21,59,2
578,78,2025-09-21,90,4
579,79,2025-09-21,81,5
580,80,2025-09-21,124,7
581,81,2025-09-21,69,5
582,82,2025-09-21,96,4
583,83,2025-09-21,124,6
584,84,2025-09-21,109,4
585,85,2025-09-21,82,5
586,86,2025-09-21,75,7
587,87,2025-09-21,63,4
588,88,2025-09-21,109,10
589,89,2025-09-21,196,12
590,90,2025-09-21,76,6
591,91,2025-09-21,99,5
592,92,2025-09-21,265,16
593,93,2025-09-21,105,10
594,94,2025-09-21,102,6
595,95,2025-09-21,123,7
596,96,2025-09-21,63,1
597,97,2025-09-21,106,7
598,98,2025-09-21,138,9
599,99,2025-09-21,102,6
600,100,2025-09-21,92,5
601,1,2025-09-22,213,11
602,2,2025-09-22,224,11
603,3,2025-09-22,279,18
604,4,2025-09-22,363,21
605,5,2025-09-22,324,17
606,6,2025-09-22,332,16
607,7,2025-09-22,407,23
608,8,2025-09-22,336,21
609,9,2025-09-22,230,17
610,10,2025-09-22,163,11
611,11,2025-09-22,257,15
612,12,2025-09-22,234,11
613,13,2025-09-22,176,7
614,14,2025-09-22,236,13
615,15,2025-09-22,180,11
616,16,2025-09-22,275,17
617,17,2025-09-22,329,19
618,18,2025-09-22,241,12
619,19,2025-09-22,221,14
620,20,2025-09-22,152,8
621,21,2025-09-22,172,10
622,22,2025-09-22,280,20
623,23,2025-09-22,163,8
624,24,2025-09-22,294,15
625,25,2025-09-22,189,11
626,26,2025-09-22,288,16
627,27,2025-09-22,203,13
628,28,2025-09-22,159,11
629,29,2025-09-22,260,17
630,30,2025-09-22,208,11
631,31,2025-09-22,181,11
632,32,2025-09-22,205,13
633,33,2025-09-22,182,10
634,34,2025-09-22,131,8
635,35,2025-09-22,181,9
636,36,2025-09-22,307,15
637,37,2025-09-22,236,13
638,38,2025-09-22,202,8
639,39,2025-09-22,227,13
640,40,2025-09-22,183,9
641,41,2025-09-22,192,14
642,42,2025-09-22,233,11
643,43,2025-09-22,204,11
644,44,2025-09-22,148,11
645,45,2025-09-22,244,14
646,46,2025-09-22,251,14
647,47,2025-09-22,243,11
648,48,2025-09-22,177,11
649,49,2025-09-22,196,12
650,50,2025-09-22,286,17
651,51,2025-09-22,269,16
652,52,2025-09-22,193,10
653,53,2025-09-22,174,8
654,54,2025-09-22,177,11
655,55,2025-09-22,226,13
656,56,2025-09-22,259,14
657,57,2025-09-22,129,6
658,58,2025-09-22,267,19
659,59,2025-09-22,212,11
660,60,2025-09-22,207,14
661,61,2025-09-22,259,12
662,62,2025-09-22,227,13
663,63,2025-09-22,336,18
664,64,2025-09-22,179,11
665,65,2025-09-22,280,16
666,66,2025-09-22,210,9
667,67,2025-09-22,258,18
668,68,2025-09-22,128,4
669,69,2025-09-22,294,12
670,70,2025-09-22,130,6
671,71,2025-09-22,222,14
672,72,2025-09-22,283,16
673,73,2025-09-22,284,16
674,74,2025-09-22,206,11
675,75,2025-09-22,252,13
676,76,2025-09-22,219,12
677,77,2025-09-22,133,6
678,78,2025-09-22,186,10
679,79,2025-09-22,182,12
680,80,2025-09-22,362,24
681,81,2025-09-22,208,12
682,82,2025-09-22,212,10
683,83,2025-09-22,255,16
684,84,2025-09-22,238,13
685,85,2025-09-22,248,17
686,86,2025-09-22,169,9
687,87,2025-09-22,202,13
688,88,2025-09-22,238,10
689,89,2025-09-22,387,24
690,90,2025-09-22,214,11
691,91,2025-09-22,207,14
692,92,2025-09-22,557,33
693,93,2025-09-22,272,13
694,94,2025-09-22,236,16
695,95,2025-09-22,306,19
696,96,2025-09-22,164,12
697,97,2025-09-22,223,12
698,98,2025-09-22,249,11
699,99,2025-09-22,211,12
700,100,2025-09-22,252,17
701,1,2025-09-23,144,9
702,2,2025-09-23,165,6
703,3,2025-09-23,241,16
704,4,2025-09-23,271,17
705,5,2025-09-23,242,13
706,6,2025-09-23,310,21
707,7,2025-09-23,390,22
708,8,2025-09-23,285,11
709,9,2025-09-23,215,12
710,10,2025-09-23,163,11
711,11,2025-09-23,188,12
712,12,2025-09-23,245,15
713,13,2025-09-23,155,9
714,14,2025-09-23,196,11
715,15,2025-09-23,159,10
716,16,2025-09-23,245,16
717,17,2025-09-23,230,11
718,18,2025-09-23,212,13
719,19,2025-09-23,162,7
720,20,2025-09-23,120,7
721,21,2025-09-23,146,5
722,22,2025-09-23,233,14
723,23,2025-09-23,157,9
724,24,2025-09-23,253,12
725,25,2025-09-23,149,11
726,26,2025-09-23,271,19
727,27,2025-09-23,198,10
728,28,2025-09-23,140,12
729,29,2025-09-23,234,16
730,30,2025-09-23,185,10
731,31,2025-09-23,159,12
732,32,2025-09-23,176,12
733,33,2025-09-23,144,6
734,34,2025-09-23,130,6
735,35,2025-09-23,157,5
736,36,2025-09-23,300,17
737,37,2025-09-23,263,13
738,38,2025-09-23,203,10
739,39,2025-09-23,169,10
740,40,2025-09-23,155,7
741,41,2025-09-23,180,14
742,42,2025-09-23,216,9
743,43,2025-09-23,205,14
744,44,2025-09-23,118,4
745,45,2025-09-23,224,13
746,46,2025-09-23,225,15
747,47,2025-09-23,200,11
748,48,2025-09-23,167,11
749,49,2025-09-23,169,6
750,50,2025-09-23,222,12
751,51,2025-09-23,232,14
752,52,2025-09-23,190,10
753,53,2025-09-23,139,8
754,54,2025-09-23,148,10
755,55,2025-09-23,180,11
756,56,2025-09-23,237,16
757,57,2025-09-23,132,7
758,58,2025-09-23,226,15
759,59,2025-09-23,188,9
760,60,2025-09-23,183,10
761,61,2025-09-23,243,14
762,62,2025-09-23,189,12
763,63,2025-09-23,290,17
764,64,2025-09-23,158,8
765,65,2025-09-23,216,12
766,66,2025-09-23,182,10
767,67,2025-09-23,226,12
768,68,2025-09-23,101,5
769,69,2025-09-23,252,15
770,70,2025-09-23,122,8
771,71,2025-09-23,237,16
772,72,2025-09-23,254,15
773,73,2025-09-23,209,15
774,74,2025-09-23,177,11
775,75,2025-09-23,205,10
776,76,2025-09-23,175,10
777,77,2025-09-23,122,8
778,78,2025-09-23,148,7
779,79,2025-09-23,127,4
780,80,2025-09-23,313,20
781,81,2025-09-23,188,10
782,82,2025-09-23,197,14
783,83,2025-09-23,218,11
784,84,2025-09-23,213,13
785,85,2025-09-23,207,8
786,86,2025-09-23,167,12
787,87,2025-09-23,183,11
788,88,2025-09-23,211,11
789,89,2025-09-23,321,20
790,90,2025-09-23,190,12
791,91,2025-09-23,177,11
792,92,2025-09-23,443,25
793,93,2025-09-23,227,13
794,94,2025-09-23,187,8
795,95,2025-09-23,221,13
796,96,2025-09-23,154,10
797,97,2025-09-23,196,10
798,98,2025-09-23,209,13
799,99,2025-09-23,193,13
800,100,2025-09-23,180,9
801,1,2025-09-24,174,10
802,2,2025-09-24,181,10
803,3,2025-09-24,235,15
804,4,2025-09-24,308,18
805,5,2025-09-24,256,17
806,6,2025-09-24,288,18
807,7,2025-09-24,349,23
808,8,2025-09-24,279,16
809,9,2025-09-24,220,13
810,10,2025-09-24,165,12
811,11,2025-09-24,190,10
812,12,2025-09-24,206,8
813,13,2025-09-24,149,7
814,14,2025-09-24,220,14
815,15,2025-09-24,193,13
816,16,2025-09-24,254,17
817,17,2025-09-24,279,14
818,18,2025-09-24,191,11
819,19,2025-09-24,158,7
820,20,2025-09-24,111,5
821,21,2025-09-24,139,7
822,22,2025-09-24,239,12
823,23,2025-09-24,161,10
824,24,2025-09-24,257,15
825,25,2025-09-24,148,6
826,26,2025-09-24,245,14
827,27,2025-09-24,216,17
828,28,2025-09-24,148,7
829,29,2025-09-24,230,15
830,30,2025-09-24,224,11
831,31,2025-09-24,162,7
832,32,2025-09-24,203,9
833,33,2025-09-24,160,8
834,34,2025-09-24,127,5
835,35,2025-09-24,140,12
836,36,2025-09-24,323,19
837,37,2025-09-24,244,9
838,38,2025-09-24,179,6
839,39,2025-09-24,189,11
840,40,2025-09-24,141,9
841,41,2025-09-24,166,9
842,42,2025-09-24,239,15
843,43,2025-09-24,185,12
844,44,2025-09-24,101,6
845,45,2025-09-24,236,12
846,46,2025-09-24,218,12
847,47,2025-09-24,212,10
848,48,2025-09-24,159,13
849,49,2025-09-24,169,10
850,50,2025-09-24,231,12
851,51,2025-09-24,180,12
852,52,2025-09-24,179,9
853,53,2025-09-24,148,7
854,54,2025-09-24,150,10
855,55,2025-09-24,198,13
856,56,2025-09-24,207,14
857,57,2025-09-24,128,7
858,58,2025-09-24,237,16
859,59,2025-09-24,168,7
860,60,2025-09-24,154,10
861,61,2025-09-24,231,10
862,62,2025-09-24,230,15
863,63,2025-09-24,281,13
864,64,2025-09-24,172,8
865,65,2025-09-24,221,9
866,66,2025-09-24,180,10
867,67,2025-09-24,237,12
868,68,2025-09-24,103,8
869,69,2025-09-24,215,12
870,70,2025-09-24,110,2
871,71,2025-09-24,192,9
872,72,2025-09-24,265,13
873,73,2025-09-24,238,17
874,74,2025-09-24,167,9
875,75,2025-09-24,203,13
876,76,2025-09-24,196,9
877,77,2025-09-24,121,8
878,78,2025-09-24,169,6
879,79,2025-09-24,155,8
880,80,2025-09-24,276,16
881,81,2025-09-24,181,9
882,82,2025-09-24,201,9
883,83,2025-09-24,254,17
884,84,2025-09-24,208,15
885,85,2025-09-24,217,11
886,86,2025-09-24,167,10
887,87,2025-09-24,170,10
888,88,2025-09-24,209,12
889,89,2025-09-24,296,18
890,90,2025-09-24,190,11
891,91,2025-09-24,178,10
892,92,2025-09-24,445,27
893,93,2025-09-24,229,14
894,94,2025-09-24,196,8
895,95,2025-09-24,248,14
896,96,2025-09-24,139,5
897,97,2025-09-24,211,7
898,98,2025-09-24,210,14
899,99,2025-09-24,191,13
900,100,2025-09-24,207,8
901,1,2025-09-25,150,8
902,2,2025-09-25,177,13
903,3,2025-09-25,202,7
904,4,2025-09-25,294,15
905,5,2025-09-25,250,12
906,6,2025-09-25,256,17
907,7,2025-09-25,284,16
908,8,2025-09-25,219,13
909,9,2025-09-25,180,9
910,10,2025-09-25,132,9
911,11,2025-09-25,196,13
912,12,2025-09-25,164,10
913,13,2025-09-25,158,6
914,14,2025-09-25,219,14
915,15,2025-09-25,153,8
916,16,2025-09-25,208,13
917,17,2025-09-25,259,14
918,18,2025-09-25,180,6
919,19,2025-09-25,174,10
920,20,2025-09-25,98,6
921,21,2025-09-25,143,4
922,22,2025-09-25,200,15
923,23,2025-09-25,130,5
924,24,2025-09-25,202,14
925,25,2025-09-25,151,9
926,26,2025-09-25,211,14
927,27,2025-09-25,150,12
928,28,2025-09-25,114,7
929,29,2025-09-25,181,12
930,30,2025-09-25,153,11
